id_cliente,id_cuenta,tipo
C100084,C100084-T1,TC
C100084,C100084-T2,TC
C100085,C100085-T1,TC
C100085,C100085-T2,TC
C100086,C100086-T1,TC
C100086,C100086-T2,TC
C100086,C100086-T3,TC
C100087,C100087-T1,TC
C100087,C100087-T2,TC
C100087,C100087-T3,TC
C100088,C100088-T1,TC
C100088,C100088-T2,TC
C100089,C100089-T1,TC
C100090,C100090-T1,TC
C100091,C100091-T1,TC
C100091,C100091-T2,TC
C100091,C100091-T3,TC
C100092,C100092-T1,TC
C100093,C100093-T1,TC
C100093,C100093-T2,TC
C100094,C100094-T1,TC
C100095,C100095-T1,TC
C100096,C100096-T1,TC
C100097,C100097-T1,TC
C100098,C100098-T1,TC
C100099,C100099-T1,TC
C100099,C100099-T2,TC
C100100,C100100-T1,TC
C100100,C100100-T2,TC
C100101,C100101-T1,TC
C100102,C100102-T1,TC
C100103,C100103-T1,TC
C100104,C100104-T1,TC
C100105,C100105-T1,TC
C100106,C100106-T1,TC
C100107,C100107-T1,TC
C100108,C100108-T1,TC
C100109,C100109-T1,TC
C100110,C100110-T1,TC
C100111,C100111-T1,TC
C100112,C100112-T1,TC
C100112,C100112-T2,TC
C100113,C100113-T1,TC
C100114,C100114-T1,TC
C100114,C100114-T2,TC
C100114,C100114-T3,TC
C100115,C100115-T1,TC
C100115,C100115-T2,TC
C100116,C100116-T1,TC
C100117,C100117-T1,TC
C100118,C100118-T1,TC
C100118,C100118-T2,TC
C100119,C100119-T1,TC
C100120,C100120-T1,TC
C100121,C100121-T1,TC
C100122,C100122-T1,TC
C100122,C100122-T2,TC
C100123,C100123-T1,TC
C100124,C100124-T1,TC
C100124,C100124-T2,TC
C100124,C100124-T3,TC
C100125,C100125-T1,TC
C100126,C100126-T1,TC
C100126,C100126-T2,TC
C100126,C100126-T3,TC
C100127,C100127-T1,TC
C100128,C100128-T1,TC
C100128,C100128-T2,TC
C100129,C100129-T1,TC
C100130,C100130-T1,TC
C100131,C100131-T1,TC
C100132,C100132-T1,TC
C100133,C100133-T1,TC
C100134,C100134-T1,TC
C100134,C100134-T2,TC
C100135,C100135-T1,TC
C100136,C100136-T1,TC
C100136,C100136-T2,TC
C100137,C100137-T1,TC
C100137,C100137-T2,TC
C100138,C100138-T1,TC
C100138,C100138-T2,TC
C100139,C100139-T1,TC
C100139,C100139-T2,TC
C100140,C100140-T1,TC
C100141,C100141-T1,TC
C100141,C100141-T2,TC
C100142,C100142-T1,TC
C100143,C100143-T1,TC
C100144,C100144-T1,TC
C100145,C100145-T1,TC
C100145,C100145-T2,TC
C100146,C100146-T1,TC
C100146,C100146-T2,TC
C100147,C100147-T1,TC
C100148,C100148-T1,TC
C100149,C100149-T1,TC
C100150,C100150-T1,TC
C100151,C100151-T1,TC
C100151,C100151-T2,TC
C100152,C100152-T1,TC
C100152,C100152-T2,TC
C100152,C100152-T3,TC
C100153,C100153-T1,TC
C100153,C100153-T2,TC
C100153,C100153-T3,TC
C100154,C100154-T1,TC
C100155,C100155-T1,TC
C100156,C100156-T1,TC
C100156,C100156-T2,TC
C100157,C100157-T1,TC
C100158,C100158-T1,TC
C100158,C100158-T2,TC
C100159,C100159-T1,TC
C100159,C100159-T2,TC
C100160,C100160-T1,TC
C100160,C100160-T2,TC
C100160,C100160-T3,TC
C100161,C100161-T1,TC
C100161,C100161-T2,TC
C100161,C100161-T3,TC
C100162,C100162-T1,TC
C100162,C100162-T2,TC
C100162,C100162-T3,TC
C100163,C100163-T1,TC
C100164,C100164-T1,TC
C100165,C100165-T1,TC
C100166,C100166-T1,TC
C100166,C100166-T2,TC
C100167,C100167-T1,TC
C100167,C100167-T2,TC
C100168,C100168-T1,TC
C100168,C100168-T2,TC
C100168,C100168-T3,TC
C100169,C100169-T1,TC
C100170,C100170-T1,TC
C100170,C100170-T2,TC
C100171,C100171-T1,TC
C100171,C100171-T2,TC
C100172,C100172-T1,TC
C100172,C100172-T2,TC
C100173,C100173-T1,TC
C100174,C100174-T1,TC
C100175,C100175-T1,TC
C100176,C100176-T1,TC
C100176,C100176-T2,TC
C100177,C100177-T1,TC
C100177,C100177-T2,TC
C100178,C100178-T1,TC
C100179,C100179-T1,TC
C100180,C100180-T1,TC
C100180,C100180-T2,TC
C100181,C100181-T1,TC
C100181,C100181-T2,TC
C100182,C100182-T1,TC
C100183,C100183-T1,TC
C100183,C100183-T2,TC
C100184,C100184-T1,TC
C100185,C100185-T1,TC
C100185,C100185-T2,TC
C100185,C100185-T3,TC
C100186,C100186-T1,TC
C100187,C100187-T1,TC
C100187,C100187-T2,TC
C100188,C100188-T1,TC
C100188,C100188-T2,TC
C100189,C100189-T1,TC
C100189,C100189-T2,TC
C100190,C100190-T1,TC
C100191,C100191-T1,TC
C100191,C100191-T2,TC
C100192,C100192-T1,TC
C100193,C100193-T1,TC
C100194,C100194-T1,TC
C100195,C100195-T1,TC
C100196,C100196-T1,TC
C100197,C100197-T1,TC
C100198,C100198-T1,TC
C100198,C100198-T2,TC
C100198,C100198-T3,TC
C100199,C100199-T1,TC
C100200,C100200-T1,TC
C100201,C100201-T1,TC
C100202,C100202-T1,TC
C100203,C100203-T1,TC
C100204,C100204-T1,TC
C100205,C100205-T1,TC
C100206,C100206-T1,TC
C100206,C100206-T2,TC
C100207,C100207-T1,TC
C100207,C100207-T2,TC
C100208,C100208-T1,TC
C100209,C100209-T1,TC
C100210,C100210-T1,TC
C100210,C100210-T2,TC
C100211,C100211-T1,TC
C100212,C100212-T1,TC
C100212,C100212-T2,TC
C100212,C100212-T3,TC
C100213,C100213-T1,TC
C100214,C100214-T1,TC
C100214,C100214-T2,TC
C100214,C100214-T3,TC
C100215,C100215-T1,TC
C100216,C100216-T1,TC
C100217,C100217-T1,TC
C100217,C100217-T2,TC
C100217,C100217-T3,TC
C100218,C100218-T1,TC
C100218,C100218-T2,TC
C100219,C100219-T1,TC
C100219,C100219-T2,TC
C100219,C100219-T3,TC
C100220,C100220-T1,TC
C100221,C100221-T1,TC
C100221,C100221-T2,TC
C100222,C100222-T1,TC
C100222,C100222-T2,TC
C100223,C100223-T1,TC
C100223,C100223-T2,TC
C100223,C100223-T3,TC
C100224,C100224-T1,TC
C100225,C100225-T1,TC
C100226,C100226-T1,TC
C100227,C100227-T1,TC
C100228,C100228-T1,TC
C100228,C100228-T2,TC
C100229,C100229-T1,TC
C100229,C100229-T2,TC
C100229,C100229-T3,TC
C100230,C100230-T1,TC
C100230,C100230-T2,TC
C100231,C100231-T1,TC
C100232,C100232-T1,TC
C100233,C100233-T1,TC
C100233,C100233-T2,TC
C100233,C100233-T3,TC
C100234,C100234-T1,TC
C100235,C100235-T1,TC
C100235,C100235-T2,TC
C100236,C100236-T1,TC
C100237,C100237-T1,TC
C100238,C100238-T1,TC
C100239,C100239-T1,TC
C100239,C100239-T2,TC
C100240,C100240-T1,TC
C100240,C100240-T2,TC
C100241,C100241-T1,TC
C100241,C100241-T2,TC
C100242,C100242-T1,TC
C100242,C100242-T2,TC
C100243,C100243-T1,TC
C100244,C100244-T1,TC
C100244,C100244-T2,TC
C100245,C100245-T1,TC
C100245,C100245-T2,TC
C100246,C100246-T1,TC
C100247,C100247-T1,TC
C100248,C100248-T1,TC
C100249,C100249-T1,TC
C100250,C100250-T1,TC
C100251,C100251-T1,TC
C100252,C100252-T1,TC
C100253,C100253-T1,TC
C100254,C100254-T1,TC
C100255,C100255-T1,TC
C100256,C100256-T1,TC
C100257,C100257-T1,TC
C100257,C100257-T2,TC
C100257,C100257-T3,TC
C100258,C100258-T1,TC
C100259,C100259-T1,TC
C100259,C100259-T2,TC
C100260,C100260-T1,TC
C100261,C100261-T1,TC
C100261,C100261-T2,TC
C100261,C100261-T3,TC
C100262,C100262-T1,TC
C100263,C100263-T1,TC
C100264,C100264-T1,TC
C100264,C100264-T2,TC
C100265,C100265-T1,TC
C100266,C100266-T1,TC
C100267,C100267-T1,TC
C100268,C100268-T1,TC
C100269,C100269-T1,TC
C100269,C100269-T2,TC
C100270,C100270-T1,TC
C100271,C100271-T1,TC
C100272,C100272-T1,TC
C100273,C100273-T1,TC
C100274,C100274-T1,TC
C100275,C100275-T1,TC
C100276,C100276-T1,TC
C100277,C100277-T1,TC
C100277,C100277-T2,TC
C100278,C100278-T1,TC
C100279,C100279-T1,TC
C100279,C100279-T2,TC
C100280,C100280-T1,TC
C100281,C100281-T1,TC
C100282,C100282-T1,TC
C100283,C100283-T1,TC
C100284,C100284-T1,TC
C100285,C100285-T1,TC
C100286,C100286-T1,TC
C100287,C100287-T1,TC
C100287,C100287-T2,TC
C100287,C100287-T3,TC
C100288,C100288-T1,TC
C100289,C100289-T1,TC
C100290,C100290-T1,TC
C100290,C100290-T2,TC
C100291,C100291-T1,TC
C100291,C100291-T2,TC
C100292,C100292-T1,TC
C100293,C100293-T1,TC
C100294,C100294-T1,TC
C100295,C100295-T1,TC
C100296,C100296-T1,TC
C100296,C100296-T2,TC
C100297,C100297-T1,TC
C100298,C100298-T1,TC
C100298,C100298-T2,TC
C100299,C100299-T1,TC
C100300,C100300-T1,TC
C100300,C100300-T2,TC
C100301,C100301-T1,TC
C100302,C100302-T1,TC
C100302,C100302-T2,TC
C100303,C100303-T1,TC
C100304,C100304-T1,TC
C100305,C100305-T1,TC
C100305,C100305-T2,TC
C100306,C100306-T1,TC
C100307,C100307-T1,TC
C100308,C100308-T1,TC
C100308,C100308-T2,TC
C100309,C100309-T1,TC
C100309,C100309-T2,TC
C100310,C100310-T1,TC
C100311,C100311-T1,TC
C100311,C100311-T2,TC
C100311,C100311-T3,TC
C100312,C100312-T1,TC
C100312,C100312-T2,TC
C100313,C100313-T1,TC
C100314,C100314-T1,TC
C100315,C100315-T1,TC
C100316,C100316-T1,TC
C100316,C100316-T2,TC
C100317,C100317-T1,TC
C100318,C100318-T1,TC
C100318,C100318-T2,TC
C100319,C100319-T1,TC
C100320,C100320-T1,TC
C100320,C100320-T2,TC
C100320,C100320-T3,TC
C100321,C100321-T1,TC
C100321,C100321-T2,TC
C100322,C100322-T1,TC
C100323,C100323-T1,TC
C100324,C100324-T1,TC
C100325,C100325-T1,TC
C100325,C100325-T2,TC
C100326,C100326-T1,TC
C100327,C100327-T1,TC
C100327,C100327-T2,TC
C100328,C100328-T1,TC
C100328,C100328-T2,TC
C100329,C100329-T1,TC
C100329,C100329-T2,TC
C100330,C100330-T1,TC
C100330,C100330-T2,TC
C100331,C100331-T1,TC
C100332,C100332-T1,TC
C100333,C100333-T1,TC
C100333,C100333-T2,TC
C100333,C100333-T3,TC
C100334,C100334-T1,TC
C100335,C100335-T1,TC
C100335,C100335-T2,TC
C100336,C100336-T1,TC
C100336,C100336-T2,TC
C100337,C100337-T1,TC
C100337,C100337-T2,TC
C100338,C100338-T1,TC
C100339,C100339-T1,TC
C100340,C100340-T1,TC
C100341,C100341-T1,TC
C100342,C100342-T1,TC
C100343,C100343-T1,TC
C100344,C100344-T1,TC
C100345,C100345-T1,TC
C100345,C100345-T2,TC
C100346,C100346-T1,TC
C100346,C100346-T2,TC
C100347,C100347-T1,TC
C100348,C100348-T1,TC
C100348,C100348-T2,TC
C100349,C100349-T1,TC
C100349,C100349-T2,TC
C100350,C100350-T1,TC
C100350,C100350-T2,TC
C100351,C100351-T1,TC
C100351,C100351-T2,TC
C100351,C100351-T3,TC
C100352,C100352-T1,TC
C100353,C100353-T1,TC
C100354,C100354-T1,TC
C100355,C100355-T1,TC
C100356,C100356-T1,TC
C100357,C100357-T1,TC
C100358,C100358-T1,TC
C100359,C100359-T1,TC
C100360,C100360-T1,TC
C100361,C100361-T1,TC
C100361,C100361-T2,TC
C100362,C100362-T1,TC
C100363,C100363-T1,TC
C100364,C100364-T1,TC
C100365,C100365-T1,TC
C100365,C100365-T2,TC
C100366,C100366-T1,TC
C100367,C100367-T1,TC
C100368,C100368-T1,TC
C100369,C100369-T1,TC
C100370,C100370-T1,TC
C100370,C100370-T2,TC
C100371,C100371-T1,TC
C100372,C100372-T1,TC
C100372,C100372-T2,TC
C100372,C100372-T3,TC
C100373,C100373-T1,TC
C100374,C100374-T1,TC
C100374,C100374-T2,TC
C100375,C100375-T1,TC
C100375,C100375-T2,TC
C100375,C100375-T3,TC
C100376,C100376-T1,TC
C100377,C100377-T1,TC
C100377,C100377-T2,TC
C100377,C100377-T3,TC
C100378,C100378-T1,TC
C100378,C100378-T2,TC
C100378,C100378-T3,TC
C100379,C100379-T1,TC
C100380,C100380-T1,TC
C100380,C100380-T2,TC
C100381,C100381-T1,TC
C100382,C100382-T1,TC
C100383,C100383-T1,TC
C100384,C100384-T1,TC
C100385,C100385-T1,TC
C100385,C100385-T2,TC
C100386,C100386-T1,TC
C100386,C100386-T2,TC
C100386,C100386-T3,TC
C100387,C100387-T1,TC
C100388,C100388-T1,TC
C100388,C100388-T2,TC
C100389,C100389-T1,TC
C100389,C100389-T2,TC
C100389,C100389-T3,TC
C100390,C100390-T1,TC
C100391,C100391-T1,TC
C100392,C100392-T1,TC
C100393,C100393-T1,TC
C100393,C100393-T2,TC
C100393,C100393-T3,TC
C100394,C100394-T1,TC
C100394,C100394-T2,TC
C100395,C100395-T1,TC
C100396,C100396-T1,TC
C100397,C100397-T1,TC
C100398,C100398-T1,TC
C100398,C100398-T2,TC
C100399,C100399-T1,TC
C100400,C100400-T1,TC
C100400,C100400-T2,TC
C100400,C100400-T3,TC
C100401,C100401-T1,TC
C100402,C100402-T1,TC
C100403,C100403-T1,TC
C100404,C100404-T1,TC
C100404,C100404-T2,TC
C100405,C100405-T1,TC
C100405,C100405-T2,TC
C100406,C100406-T1,TC
C100407,C100407-T1,TC
C100407,C100407-T2,TC
C100408,C100408-T1,TC
C100408,C100408-T2,TC
C100409,C100409-T1,TC
C100409,C100409-T2,TC
C100409,C100409-T3,TC
C100410,C100410-T1,TC
C100411,C100411-T1,TC
C100411,C100411-T2,TC
C100412,C100412-T1,TC
C100413,C100413-T1,TC
C100413,C100413-T2,TC
C100414,C100414-T1,TC
C100415,C100415-T1,TC
C100416,C100416-T1,TC
C100416,C100416-T2,TC
C100417,C100417-T1,TC
C100417,C100417-T2,TC
C100417,C100417-T3,TC
C100418,C100418-T1,TC
C100419,C100419-T1,TC
C100419,C100419-T2,TC
C100420,C100420-T1,TC
C100420,C100420-T2,TC
C100421,C100421-T1,TC
C100422,C100422-T1,TC
C100423,C100423-T1,TC
C100424,C100424-T1,TC
C100425,C100425-T1,TC
C100426,C100426-T1,TC
C100427,C100427-T1,TC
C100427,C100427-T2,TC
C100428,C100428-T1,TC
C100429,C100429-T1,TC
C100430,C100430-T1,TC
C100431,C100431-T1,TC
C100432,C100432-T1,TC
C100433,C100433-T1,TC
C100434,C100434-T1,TC
C100435,C100435-T1,TC
C100435,C100435-T2,TC
C100436,C100436-T1,TC
C100436,C100436-T2,TC
C100437,C100437-T1,TC
C100437,C100437-T2,TC
C100438,C100438-T1,TC
C100439,C100439-T1,TC
C100440,C100440-T1,TC
C100441,C100441-T1,TC
C100442,C100442-T1,TC
C100443,C100443-T1,TC
C100444,C100444-T1,TC
C100445,C100445-T1,TC
C100445,C100445-T2,TC
C100446,C100446-T1,TC
C100446,C100446-T2,TC
C100447,C100447-T1,TC
C100448,C100448-T1,TC
C100448,C100448-T2,TC
C100449,C100449-T1,TC
C100449,C100449-T2,TC
C100449,C100449-T3,TC
C100450,C100450-T1,TC
C100451,C100451-T1,TC
C100452,C100452-T1,TC
C100453,C100453-T1,TC
C100454,C100454-T1,TC
C100455,C100455-T1,TC
C100455,C100455-T2,TC
C100455,C100455-T3,TC
C100456,C100456-T1,TC
C100457,C100457-T1,TC
C100458,C100458-T1,TC
C100459,C100459-T1,TC
C100460,C100460-T1,TC
C100460,C100460-T2,TC
C100461,C100461-T1,TC
C100461,C100461-T2,TC
C100462,C100462-T1,TC
C100463,C100463-T1,TC
C100463,C100463-T2,TC
C100463,C100463-T3,TC
C100464,C100464-T1,TC
C100464,C100464-T2,TC
C100465,C100465-T1,TC
C100466,C100466-T1,TC
C100466,C100466-T2,TC
C100466,C100466-T3,TC
C100467,C100467-T1,TC
C100468,C100468-T1,TC
C100468,C100468-T2,TC
C100469,C100469-T1,TC
C100470,C100470-T1,TC
C100470,C100470-T2,TC
C100470,C100470-T3,TC
C100471,C100471-T1,TC
C100472,C100472-T1,TC
C100472,C100472-T2,TC
C100472,C100472-T3,TC
C100473,C100473-T1,TC
C100473,C100473-T2,TC
C100474,C100474-T1,TC
C100474,C100474-T2,TC
C100475,C100475-T1,TC
C100476,C100476-T1,TC
C100477,C100477-T1,TC
C100478,C100478-T1,TC
C100479,C100479-T1,TC
C100480,C100480-T1,TC
C100480,C100480-T2,TC
C100481,C100481-T1,TC
C100482,C100482-T1,TC
C100482,C100482-T2,TC
C100483,C100483-T1,TC
C100484,C100484-T1,TC
C100484,C100484-T2,TC
C100485,C100485-T1,TC
C100486,C100486-T1,TC
C100486,C100486-T2,TC
C100487,C100487-T1,TC
C100487,C100487-T2,TC
C100488,C100488-T1,TC
C100488,C100488-T2,TC
C100489,C100489-T1,TC
C100489,C100489-T2,TC
C100490,C100490-T1,TC
C100490,C100490-T2,TC
C100491,C100491-T1,TC
C100491,C100491-T2,TC
C100492,C100492-T1,TC
C100493,C100493-T1,TC
C100493,C100493-T2,TC
C100494,C100494-T1,TC
C100494,C100494-T2,TC
C100495,C100495-T1,TC
C100496,C100496-T1,TC
C100496,C100496-T2,TC
C100497,C100497-T1,TC
C100498,C100498-T1,TC
C100499,C100499-T1,TC
C100499,C100499-T2,TC
C100499,C100499-T3,TC
C100500,C100500-T1,TC
C100501,C100501-T1,TC
C100502,C100502-T1,TC
C100503,C100503-T1,TC
C100503,C100503-T2,TC
C100504,C100504-T1,TC
C100505,C100505-T1,TC
C100506,C100506-T1,TC
C100506,C100506-T2,TC
C100507,C100507-T1,TC
C100508,C100508-T1,TC
C100508,C100508-T2,TC
C100508,C100508-T3,TC
C100509,C100509-T1,TC
C100509,C100509-T2,TC
C100510,C100510-T1,TC
C100510,C100510-T2,TC
C100511,C100511-T1,TC
C100512,C100512-T1,TC
C100513,C100513-T1,TC
C100514,C100514-T1,TC
C100515,C100515-T1,TC
C100515,C100515-T2,TC
C100516,C100516-T1,TC
C100517,C100517-T1,TC
C100517,C100517-T2,TC
C100518,C100518-T1,TC
C100519,C100519-T1,TC
C100519,C100519-T2,TC
C100520,C100520-T1,TC
C100521,C100521-T1,TC
C100522,C100522-T1,TC
C100522,C100522-T2,TC
C100523,C100523-T1,TC
C100524,C100524-T1,TC
C100525,C100525-T1,TC
C100526,C100526-T1,TC
C100526,C100526-T2,TC
C100526,C100526-T3,TC
C100527,C100527-T1,TC
C100527,C100527-T2,TC
C100528,C100528-T1,TC
C100528,C100528-T2,TC
C100528,C100528-T3,TC
C100529,C100529-T1,TC
C100530,C100530-T1,TC
C100530,C100530-T2,TC
C100530,C100530-T3,TC
C100531,C100531-T1,TC
C100532,C100532-T1,TC
C100533,C100533-T1,TC
C100533,C100533-T2,TC
C100534,C100534-T1,TC
C100534,C100534-T2,TC
C100535,C100535-T1,TC
C100535,C100535-T2,TC
C100536,C100536-T1,TC
C100536,C100536-T2,TC
C100536,C100536-T3,TC
C100537,C100537-T1,TC
C100537,C100537-T2,TC
C100538,C100538-T1,TC
C100538,C100538-T2,TC
C100538,C100538-T3,TC
C100539,C100539-T1,TC
C100539,C100539-T2,TC
C100539,C100539-T3,TC
C100540,C100540-T1,TC
C100541,C100541-T1,TC
C100542,C100542-T1,TC
C100543,C100543-T1,TC
C100544,C100544-T1,TC
C100545,C100545-T1,TC
C100546,C100546-T1,TC
C100546,C100546-T2,TC
C100547,C100547-T1,TC
C100547,C100547-T2,TC
C100548,C100548-T1,TC
C100548,C100548-T2,TC
C100549,C100549-T1,TC
C100550,C100550-T1,TC
C100551,C100551-T1,TC
C100552,C100552-T1,TC
C100552,C100552-T2,TC
C100552,C100552-T3,TC
C100553,C100553-T1,TC
C100554,C100554-T1,TC
C100555,C100555-T1,TC
C100556,C100556-T1,TC
C100556,C100556-T2,TC
C100557,C100557-T1,TC
C100557,C100557-T2,TC
C100558,C100558-T1,TC
C100559,C100559-T1,TC
C100560,C100560-T1,TC
C100560,C100560-T2,TC
C100561,C100561-T1,TC
C100562,C100562-T1,TC
C100563,C100563-T1,TC
C100563,C100563-T2,TC
C100564,C100564-T1,TC
C100565,C100565-T1,TC
C100566,C100566-T1,TC
C100567,C100567-T1,TC
C100568,C100568-T1,TC
C100569,C100569-T1,TC
C100569,C100569-T2,TC
C100570,C100570-T1,TC
C100571,C100571-T1,TC
C100572,C100572-T1,TC
C100572,C100572-T2,TC
C100573,C100573-T1,TC
C100573,C100573-T2,TC
C100574,C100574-T1,TC
C100575,C100575-T1,TC
C100576,C100576-T1,TC
C100577,C100577-T1,TC
C100577,C100577-T2,TC
C100578,C100578-T1,TC
C100579,C100579-T1,TC
C100580,C100580-T1,TC
C100581,C100581-T1,TC
C100582,C100582-T1,TC
C100583,C100583-T1,TC
C100584,C100584-T1,TC
C100584,C100584-T2,TC
C100585,C100585-T1,TC
C100586,C100586-T1,TC
C100586,C100586-T2,TC
C100587,C100587-T1,TC
C100588,C100588-T1,TC
C100588,C100588-T2,TC
C100589,C100589-T1,TC
C100590,C100590-T1,TC
C100591,C100591-T1,TC
C100592,C100592-T1,TC
C100593,C100593-T1,TC
C100594,C100594-T1,TC
C100595,C100595-T1,TC
C100595,C100595-T2,TC
C100596,C100596-T1,TC
C100596,C100596-T2,TC
C100597,C100597-T1,TC
C100597,C100597-T2,TC
C100598,C100598-T1,TC
C100598,C100598-T2,TC
C100598,C100598-T3,TC
C100599,C100599-T1,TC
C100600,C100600-T1,TC
C100601,C100601-T1,TC
C100602,C100602-T1,TC
C100602,C100602-T2,TC
C100603,C100603-T1,TC
C100604,C100604-T1,TC
C100605,C100605-T1,TC
C100606,C100606-T1,TC
C100606,C100606-T2,TC
C100606,C100606-T3,TC
C100607,C100607-T1,TC
C100607,C100607-T2,TC
C100608,C100608-T1,TC
C100608,C100608-T2,TC
C100608,C100608-T3,TC
C100609,C100609-T1,TC
C100609,C100609-T2,TC
C100610,C100610-T1,TC
C100610,C100610-T2,TC
C100611,C100611-T1,TC
C100612,C100612-T1,TC
C100612,C100612-T2,TC
C100612,C100612-T3,TC
C100613,C100613-T1,TC
C100614,C100614-T1,TC
C100615,C100615-T1,TC
C100615,C100615-T2,TC
C100615,C100615-T3,TC
C100616,C100616-T1,TC
C100616,C100616-T2,TC
C100617,C100617-T1,TC
C100617,C100617-T2,TC
C100618,C100618-T1,TC
C100618,C100618-T2,TC
C100619,C100619-T1,TC
C100620,C100620-T1,TC
C100620,C100620-T2,TC
C100620,C100620-T3,TC
C100621,C100621-T1,TC
C100622,C100622-T1,TC
C100623,C100623-T1,TC
C100624,C100624-T1,TC
C100624,C100624-T2,TC
C100625,C100625-T1,TC
C100626,C100626-T1,TC
C100626,C100626-T2,TC
C100627,C100627-T1,TC
C100628,C100628-T1,TC
C100629,C100629-T1,TC
C100630,C100630-T1,TC
C100631,C100631-T1,TC
C100632,C100632-T1,TC
C100632,C100632-T2,TC
C100632,C100632-T3,TC
C100633,C100633-T1,TC
C100633,C100633-T2,TC
C100634,C100634-T1,TC
C100634,C100634-T2,TC
C100635,C100635-T1,TC
C100635,C100635-T2,TC
C100636,C100636-T1,TC
C100637,C100637-T1,TC
C100637,C100637-T2,TC
C100638,C100638-T1,TC
C100638,C100638-T2,TC
C100639,C100639-T1,TC
C100640,C100640-T1,TC
C100641,C100641-T1,TC
C100641,C100641-T2,TC
C100642,C100642-T1,TC
C100642,C100642-T2,TC
C100643,C100643-T1,TC
C100643,C100643-T2,TC
C100644,C100644-T1,TC
C100644,C100644-T2,TC
C100645,C100645-T1,TC
C100646,C100646-T1,TC
C100647,C100647-T1,TC
C100648,C100648-T1,TC
C100649,C100649-T1,TC
C100650,C100650-T1,TC
C100650,C100650-T2,TC
C100651,C100651-T1,TC
C100652,C100652-T1,TC
C100652,C100652-T2,TC
