id_cliente,default_12m,lgd_real,stage_ifrs9,pd12m_sim
C00000136,0,0.306,2,0.35
C00000137,1,0.336,2,0.35
C00000138,0,0.298,2,0.35
C00000139,1,0.338,2,0.35
C00000140,0,0.307,2,0.35
C00000141,0,0.347,2,0.35
C00000142,0,0.357,2,0.35
C00000143,1,0.342,2,0.35
C00000144,0,0.308,2,0.35
C00000145,0,0.339,2,0.35
C00000146,0,0.313,2,0.35
C00000147,0,0.317,2,0.35
C00000148,0,0.28,2,0.35
C00000149,0,0.323,2,0.35
C00000150,0,0.325,2,0.35
C00000151,1,0.314,2,0.35
C00000152,1,0.333,2,0.35
C00000153,0,0.321,2,0.35
C00000154,0,0.342,2,0.35
C00000155,0,0.338,2,0.35
C00000156,1,0.34,2,0.35
C00000157,0,0.347,2,0.35
C00000158,1,0.339,2,0.35
C00000159,1,0.364,2,0.35
C00000160,1,0.333,2,0.35
C00000161,0,0.305,2,0.35
C00000162,1,0.349,2,0.35
C00000163,0,0.321,2,0.35
C00000164,0,0.31,2,0.35
C00000165,0,0.338,2,0.35
C00000166,0,0.342,2,0.35
C00000167,1,0.343,2,0.35
C00000168,1,0.306,2,0.35
C00000169,0,0.321,2,0.35
C00000170,1,0.325,2,0.35
C00000171,0,0.337,2,0.35
C00000172,0,0.349,2,0.35
C00000173,0,0.333,2,0.35
C00000174,1,0.352,2,0.35
C00000175,0,0.345,2,0.35
C00000176,0,0.333,2,0.35
C00000177,0,0.323,2,0.35
C00000178,1,0.337,2,0.35
C00000179,1,0.312,2,0.35
C00000180,1,0.344,2,0.35
C00000181,1,0.33,2,0.35
C00000182,1,0.324,2,0.35
C00000183,0,0.344,2,0.35
C00000184,0,0.322,2,0.35
C00000185,1,0.338,2,0.35
C00000186,1,0.334,2,0.35
C00000187,0,0.325,2,0.35
C00000188,0,0.324,2,0.35
C00000189,1,0.354,2,0.35
C00000190,0,0.323,2,0.35
C00000191,1,0.342,2,0.35
C00000192,0,0.352,2,0.35
C00000193,0,0.32,2,0.35
C00000194,1,0.327,2,0.35
C00000195,0,0.323,2,0.35
C00000196,0,0.321,2,0.35
C00000197,0,0.353,2,0.35
C00000198,1,0.351,2,0.35
C00000199,0,0.355,2,0.35
C00000200,0,0.333,2,0.35
C00000201,1,0.354,2,0.35
C00000202,1,0.331,2,0.35
C00000203,0,0.339,2,0.35
C00000204,0,0.316,2,0.35
C00000205,0,0.325,2,0.35
C00000206,0,0.322,2,0.35
C00000207,0,0.329,2,0.35
C00000208,1,0.35,2,0.35
C00000209,0,0.321,2,0.35
C00000210,0,0.291,2,0.35
C00000211,1,0.316,2,0.35
C00000212,0,0.341,2,0.35
C00000213,0,0.346,2,0.35
C00000214,1,0.331,2,0.35
C00000215,1,0.321,2,0.35
C00000216,1,0.287,2,0.35
C00000217,0,0.322,2,0.35
C00000218,0,0.335,2,0.35
C00000219,1,0.346,2,0.35
C00000220,0,0.358,2,0.35
C00000221,0,0.332,2,0.35
C00000222,0,0.34,2,0.35
C00000223,1,0.322,2,0.35
C00000224,1,0.327,2,0.35
C00000225,0,0.315,2,0.35
C00000226,1,0.346,2,0.35
C00000227,0,0.304,2,0.35
C00000228,0,0.337,2,0.35
C00000229,0,0.327,2,0.35
C00000230,0,0.323,2,0.35
C00000231,0,0.324,2,0.35
C00000232,0,0.337,2,0.35
C00000233,1,0.343,2,0.35
C00000234,0,0.326,2,0.35
C00000235,1,0.372,2,0.35
C00000236,1,0.321,2,0.35
C00000237,0,0.346,2,0.35
C00000238,1,0.345,2,0.35
C00000239,0,0.332,2,0.35
C00000240,0,0.323,2,0.35
C00000241,1,0.315,2,0.35
C00000242,1,0.349,2,0.35
C00000243,0,0.333,2,0.35
C00000244,0,0.317,2,0.35
C00000245,0,0.316,2,0.35
C00000246,1,0.319,2,0.35
C00000247,0,0.329,2,0.35
C00000248,0,0.344,2,0.35
C00000249,0,0.307,2,0.35
C00000250,0,0.327,2,0.35
C00000251,1,0.333,2,0.35
C00000252,1,0.289,2,0.35
C00000253,0,0.324,2,0.35
C00000254,0,0.332,2,0.35
C00000255,0,0.311,2,0.35
C00000256,1,0.354,2,0.35
C00000257,1,0.333,2,0.35
C00000258,0,0.307,2,0.35
C00000259,0,0.306,2,0.35
C00000260,0,0.336,2,0.35
C00000261,0,0.323,2,0.35
C00000262,1,0.286,2,0.35
C00000263,0,0.322,2,0.35
C00000264,0,0.334,2,0.35
C00000265,1,0.334,2,0.35
C00000266,0,0.304,2,0.35
C00000267,0,0.343,2,0.35
C00000268,0,0.312,2,0.35
C00000269,0,0.328,2,0.35
C00000270,0,0.338,2,0.35
C00000271,0,0.314,2,0.35
C00000272,0,0.326,2,0.35
C00000273,0,0.325,2,0.35
C00000274,0,0.337,2,0.35
C00000275,1,0.321,2,0.35
C00000276,0,0.361,2,0.35
C00000277,0,0.323,2,0.35
C00000278,0,0.345,2,0.35
C00000279,1,0.324,2,0.35
C00000280,1,0.339,2,0.35
C00000281,0,0.353,2,0.35
C00000282,0,0.303,2,0.35
C00000283,0,0.342,2,0.35
C00000284,0,0.354,2,0.35
C00000285,0,0.342,2,0.35
C00000286,0,0.311,2,0.35
C00000287,0,0.315,2,0.35
C00000288,0,0.297,2,0.35
C00000289,0,0.334,2,0.35
C00000290,0,0.357,2,0.35
C00000291,1,0.332,2,0.35
C00000292,0,0.325,2,0.35
C00000293,1,0.313,2,0.35
C00000294,0,0.336,2,0.35
C00000295,1,0.339,2,0.35
C00000296,1,0.325,2,0.35
C00000297,1,0.322,2,0.35
C00000298,1,0.317,2,0.35
C00000299,1,0.327,2,0.35
C00000300,0,0.336,2,0.35
C00000301,1,0.34,2,0.35
C00000302,0,0.332,2,0.35
C00000303,0,0.315,2,0.35
C00000304,0,0.318,2,0.35
C00000305,1,0.322,2,0.35
C00000306,0,0.299,2,0.35
C00000307,0,0.292,2,0.35
C00000308,0,0.322,2,0.35
C00000309,0,0.317,2,0.35
C00000310,0,0.308,2,0.35
C00000311,0,0.311,2,0.35
C00000312,0,0.369,2,0.35
C00000313,0,0.312,2,0.35
C00000314,0,0.361,2,0.35
C00000315,0,0.326,2,0.35
C00000316,0,0.336,2,0.35
C00000317,0,0.337,2,0.35
C00000318,1,0.353,2,0.35
C00000319,0,0.366,2,0.35
C00000320,1,0.336,2,0.35
C00000321,1,0.348,2,0.35
C00000322,0,0.327,2,0.35
C00000323,0,0.352,2,0.35
C00000324,0,0.314,2,0.35
C00000325,1,0.322,2,0.35
C00000326,1,0.306,2,0.35
C00000327,1,0.328,2,0.35
C00000328,0,0.315,2,0.35
C00000329,0,0.364,2,0.35
C00000330,0,0.328,2,0.35
C00000331,1,0.335,2,0.35
C00000332,0,0.337,2,0.35
C00000333,1,0.345,2,0.35
C00000334,1,0.32,2,0.35
C00000335,0,0.304,2,0.35
C00000336,0,0.321,2,0.35
C00000337,0,0.346,2,0.35
C00000338,1,0.317,2,0.35
C00000339,0,0.324,2,0.35
C00000340,1,0.351,2,0.35
C00000341,0,0.324,2,0.35
C00000342,1,0.322,2,0.35
C00000343,1,0.282,2,0.35
C00000344,0,0.352,2,0.35
C00000345,1,0.344,2,0.35
C00000346,1,0.318,2,0.35
C00000347,1,0.357,2,0.35
C00000348,0,0.344,2,0.35
C00000349,0,0.325,2,0.35
C00000350,0,0.356,2,0.35
C00000351,0,0.332,2,0.35
C00000352,0,0.297,2,0.35
C00000353,0,0.337,2,0.35
C00000354,0,0.351,2,0.35
C00000355,0,0.313,2,0.35
C00000356,0,0.307,2,0.35
C00000357,1,0.321,2,0.35
C00000358,1,0.353,2,0.35
C00000359,0,0.3,2,0.35
C00000360,0,0.339,2,0.35
C00000361,1,0.353,2,0.35
C00000362,0,0.36,2,0.35
C00000363,0,0.329,2,0.35
C00000364,0,0.313,2,0.35
C00000365,1,0.318,2,0.35
C00000366,0,0.307,2,0.35
C00000367,1,0.333,2,0.35
C00000368,1,0.336,2,0.35
C00000369,0,0.329,2,0.35
C00000370,1,0.306,2,0.35
C00000371,1,0.354,2,0.35
C00000372,0,0.343,2,0.35
C00000373,0,0.351,2,0.35
C00000374,0,0.324,2,0.35
C00000375,0,0.332,2,0.35
C00000376,0,0.317,2,0.35
C00000377,1,0.359,2,0.35
C00000378,0,0.311,2,0.35
C00000379,0,0.369,2,0.35
C00000380,1,0.35,2,0.35
C00000381,0,0.329,2,0.35
C00000382,1,0.355,2,0.35
C00000383,1,0.329,2,0.35
C00000384,0,0.336,2,0.35
C00000385,0,0.323,2,0.35
C00000386,1,0.338,2,0.35
C00000387,1,0.317,2,0.35
C00000388,1,0.349,2,0.35
C00000389,0,0.314,2,0.35
C00000390,1,0.312,2,0.35
C00000391,0,0.339,2,0.35
C00000392,0,0.345,2,0.35
C00000393,0,0.336,2,0.35
C00000394,1,0.334,2,0.35
C00000395,0,0.347,2,0.35
C00000396,0,0.305,2,0.35
C00000397,1,0.303,2,0.35
C00000398,0,0.364,2,0.35
C00000399,0,0.323,2,0.35
C00000400,0,0.318,2,0.35
C00000401,0,0.33,2,0.35
C00000402,1,0.336,2,0.35
C00000403,1,0.311,2,0.35
C00000404,0,0.306,2,0.35
C00000405,1,0.35,2,0.35
C00000406,1,0.312,2,0.35
C00000407,0,0.339,2,0.35
C00000408,1,0.308,2,0.35
C00000409,0,0.316,2,0.35
C00000410,1,0.302,2,0.35
C00000411,1,0.322,2,0.35
C00000412,1,0.312,2,0.35
C00000413,0,0.325,2,0.35
C00000414,1,0.306,2,0.35
C00000415,0,0.312,2,0.35
C00000416,0,0.331,2,0.35
C00000417,0,0.314,2,0.35
C00000418,1,0.353,2,0.35
C00000419,0,0.32,2,0.35
C00000420,1,0.337,2,0.35
C00000421,1,0.325,2,0.35
C00000422,0,0.308,2,0.35
C00000423,0,0.336,2,0.35
C00000424,0,0.34,2,0.35
C00000425,0,0.324,2,0.35
C00000426,1,0.329,2,0.35
C00000427,0,0.338,2,0.35
C00000428,1,0.303,2,0.35
C00000429,0,0.311,2,0.35
C00000430,1,0.297,2,0.35
C00000431,1,0.342,2,0.35
C00000432,1,0.33,2,0.35
C00000433,1,0.346,2,0.35
C00000434,1,0.336,2,0.35
C00000435,0,0.307,2,0.35
C00000436,0,0.344,2,0.35
C00000437,0,0.338,2,0.35
C00000438,0,0.334,2,0.35
C00000439,1,0.347,2,0.35
C00000440,0,0.345,2,0.35
C00000441,1,0.289,2,0.35
C00000442,0,0.334,2,0.35
C00000443,1,0.333,2,0.35
C00000444,0,0.315,2,0.35
C00000445,0,0.336,2,0.35
C00000446,1,0.298,2,0.35
C00000447,1,0.34,2,0.35
C00000448,0,0.326,2,0.35
C00000449,0,0.319,2,0.35
C00000450,0,0.323,2,0.35
C00000451,0,0.305,2,0.35
C00000452,1,0.304,2,0.35
C00000453,1,0.35,2,0.35
C00000454,0,0.324,2,0.35
C00000455,0,0.332,2,0.35
C00000456,0,0.335,2,0.35
C00000457,1,0.368,2,0.35
C00000458,0,0.291,2,0.35
C00000459,1,0.354,2,0.35
C00000460,0,0.322,2,0.35
C00000461,0,0.332,2,0.35
C00000462,0,0.344,2,0.35
C00000463,1,0.333,2,0.35
C00000464,0,0.369,2,0.35
C00000465,0,0.322,2,0.35
C00000466,1,0.357,2,0.35
C00000467,0,0.349,2,0.35
C00000468,1,0.335,2,0.35
C00000469,0,0.34,2,0.35
C00000470,0,0.35,2,0.35
C00000471,0,0.31,2,0.35
C00000472,0,0.312,2,0.35
C00000473,0,0.324,2,0.35
C00000474,0,0.328,2,0.35
C00000475,0,0.345,2,0.35
C00000476,0,0.335,2,0.35
C00000477,0,0.337,2,0.35
C00000478,0,0.341,2,0.35
C00000479,0,0.336,2,0.35
C00000480,0,0.345,2,0.35
C00000481,0,0.329,2,0.35
C00000482,0,0.334,2,0.35
C00000483,0,0.357,2,0.35
C00000484,0,0.337,2,0.35
C00000485,0,0.345,2,0.35
C00000486,0,0.297,2,0.35
C00000487,0,0.307,2,0.35
C00000488,0,0.309,2,0.35
C00000489,0,0.351,2,0.35
C00000490,0,0.337,2,0.35
C00000491,1,0.312,2,0.35
C00000492,0,0.349,2,0.35
C00000493,1,0.315,2,0.35
C00000494,0,0.315,2,0.35
C00000495,1,0.327,2,0.35
C00000496,0,0.342,2,0.35
C00000497,0,0.326,2,0.35
C00000498,0,0.344,2,0.35
C00000499,0,0.316,2,0.35
C00000500,0,0.346,2,0.35
C00000501,1,0.318,2,0.35
C00000502,1,0.327,2,0.35
C00000503,1,0.341,2,0.35
C00000504,0,0.314,2,0.35
C00000505,0,0.334,2,0.35
C00000506,1,0.345,2,0.35
C00000507,0,0.326,2,0.35
C00000508,1,0.323,2,0.35
C00000509,0,0.284,2,0.35
C00000510,0,0.319,2,0.35
C00000511,0,0.33,2,0.35
C00000512,1,0.332,2,0.35
C00000513,0,0.313,2,0.35
C00000514,0,0.334,2,0.35
C00000515,0,0.317,2,0.35
C00000516,0,0.346,2,0.35
C00000517,0,0.316,2,0.35
C00000518,1,0.31,2,0.35
C00000519,0,0.321,2,0.35
C00000520,1,0.317,2,0.35
C00000521,1,0.312,2,0.35
C00000522,0,0.324,2,0.35
C00000523,0,0.329,2,0.35
C00000524,0,0.37,2,0.35
C00000525,0,0.318,2,0.35
C00000526,0,0.32,2,0.35
C00000527,1,0.357,2,0.35
C00000528,1,0.361,2,0.35
C00000529,1,0.334,2,0.35
C00000530,0,0.314,2,0.35
C00000531,1,0.347,2,0.35
C00000532,1,0.315,2,0.35
C00000533,0,0.325,2,0.35
C00000534,0,0.312,2,0.35
C00000535,0,0.323,2,0.35
C00000536,0,0.314,2,0.35
C00000537,0,0.352,2,0.35
C00000538,0,0.333,2,0.35
C00000539,0,0.302,2,0.35
C00000540,1,0.326,2,0.35
C00000541,1,0.342,2,0.35
C00000542,0,0.35,2,0.35
C00000543,1,0.306,2,0.35
C00000544,1,0.375,2,0.35
C00000545,0,0.318,2,0.35
C00000546,0,0.297,2,0.35
C00000547,0,0.322,2,0.35
C00000548,0,0.317,2,0.35
C00000549,1,0.348,2,0.35
C00000550,0,0.324,2,0.35
C00000551,0,0.303,2,0.35
C00000552,0,0.301,2,0.35
C00000553,0,0.339,2,0.35
C00000554,1,0.333,2,0.35
C00000555,0,0.345,2,0.35
C00000556,0,0.307,2,0.35
C00000557,0,0.318,2,0.35
C00000558,0,0.302,2,0.35
C00000559,0,0.344,2,0.35
C00000560,0,0.335,2,0.35
C00000561,0,0.32,2,0.35
C00000562,0,0.356,2,0.35
C00000563,1,0.307,2,0.35
C00000564,0,0.321,2,0.35
C00000565,0,0.328,2,0.35
C00000566,1,0.332,2,0.35
C00000567,1,0.331,2,0.35
C00000568,0,0.321,2,0.35
C00000569,0,0.334,2,0.35
C00000570,0,0.331,2,0.35
C00000571,0,0.336,2,0.35
C00000572,1,0.327,2,0.35
C00000573,0,0.343,2,0.35
C00000574,1,0.338,2,0.35
C00000575,1,0.331,2,0.35
C00000576,0,0.351,2,0.35
C00000577,1,0.317,2,0.35
C00000578,0,0.328,2,0.35
C00000579,1,0.319,2,0.35
C00000580,0,0.338,2,0.35
C00000581,0,0.341,2,0.35
C00000582,0,0.337,2,0.35
C00000583,0,0.337,2,0.35
C00000584,0,0.313,2,0.35
C00000585,1,0.341,2,0.35
C00000586,0,0.327,2,0.35
C00000587,0,0.32,2,0.35
C00000588,0,0.317,2,0.35
C00000589,0,0.326,2,0.35
C00000590,0,0.305,2,0.35
C00000591,1,0.322,2,0.35
C00000592,0,0.308,2,0.35
C00000593,0,0.331,2,0.35
C00000594,0,0.343,2,0.35
C00000595,0,0.314,2,0.35
C00000596,0,0.335,2,0.35
C00000597,1,0.327,2,0.35
C00000598,0,0.313,2,0.35
C00000599,1,0.365,2,0.35
C00000600,0,0.327,2,0.35
C00000601,0,0.317,2,0.35
C00000602,1,0.371,2,0.35
C00000603,1,0.335,2,0.35
C00000604,1,0.317,2,0.35
C00000605,1,0.349,2,0.35
C00000606,1,0.336,2,0.35
C00000607,1,0.31,2,0.35
C00000608,0,0.318,2,0.35
C00000609,1,0.297,2,0.35
C00000610,0,0.324,2,0.35
C00000611,0,0.341,2,0.35
C00000612,1,0.336,2,0.35
C00000613,1,0.341,2,0.35
C00000614,1,0.375,2,0.35
C00000615,0,0.313,2,0.35
C00000616,1,0.351,2,0.35
C00000617,1,0.325,2,0.35
C00000618,0,0.345,2,0.35
C00000619,0,0.318,2,0.35
C00000620,0,0.337,2,0.35
C00000621,1,0.343,2,0.35
C00000622,0,0.318,2,0.35
C00000623,1,0.345,2,0.35
C00000624,0,0.352,2,0.35
C00000625,1,0.353,2,0.35
C00000626,0,0.353,2,0.35
C00000627,1,0.359,2,0.35
C00000628,0,0.316,2,0.35
C00000629,0,0.33,2,0.35
C00000630,1,0.327,1,0.3499
C00000631,1,0.336,2,0.35
C00000632,1,0.32,2,0.35
C00000633,0,0.322,2,0.35
C00000634,0,0.309,2,0.35
C00000635,0,0.323,2,0.35
C00000636,0,0.323,2,0.35
C00000637,1,0.312,2,0.35
C00000638,1,0.348,2,0.35
C00000639,1,0.351,2,0.35
C00000640,1,0.346,2,0.35
C00000641,1,0.338,2,0.35
C00000642,1,0.327,2,0.35
C00000643,0,0.346,2,0.35
C00000644,0,0.318,2,0.35
C00000645,0,0.34,2,0.35
C00000646,1,0.294,2,0.35
C00000647,0,0.31,2,0.35
C00000648,0,0.339,2,0.35
C00000649,1,0.336,2,0.35
C00000650,0,0.325,2,0.35
C00000651,0,0.333,2,0.35
C00000652,1,0.309,2,0.35
C00000653,1,0.334,2,0.35
C00000654,0,0.342,2,0.35
C00000655,1,0.323,2,0.35
C00000656,0,0.334,2,0.35
C00000657,1,0.317,2,0.35
C00000658,0,0.311,2,0.35
C00000659,0,0.321,2,0.35
C00000660,0,0.351,2,0.35
C00000661,0,0.35,2,0.35
C00000662,1,0.33,2,0.35
C00000663,0,0.328,2,0.35
C00000664,0,0.323,2,0.35
C00000665,0,0.331,2,0.35
C00000666,1,0.318,2,0.35
C00000667,1,0.326,2,0.35
C00000668,1,0.357,2,0.35
C00000669,0,0.343,2,0.35
C00000670,0,0.307,2,0.35
C00000671,0,0.325,2,0.35
C00000672,0,0.361,2,0.35
C00000673,1,0.344,2,0.35
C00000674,1,0.371,2,0.35
C00000675,0,0.314,2,0.35
C00000676,0,0.343,2,0.35
C00000677,1,0.36,2,0.35
C00000678,0,0.307,2,0.35
C00000679,0,0.314,2,0.35
C00000680,0,0.318,2,0.35
C00000681,0,0.341,2,0.35
C00000682,0,0.337,2,0.35
C00000683,0,0.31,2,0.35
C00000684,0,0.32,2,0.35
C00000685,0,0.319,2,0.35
C00000686,0,0.318,2,0.35
C00000687,0,0.34,2,0.35
C00000688,1,0.317,2,0.35
C00000689,1,0.344,2,0.35
C00000690,0,0.306,2,0.35
C00000691,0,0.325,2,0.35
C00000692,1,0.322,2,0.35
C00000693,0,0.347,2,0.35
C00000694,0,0.324,2,0.35
C00000695,1,0.331,2,0.35
C00000696,0,0.318,2,0.35
C00000697,1,0.316,2,0.35
C00000698,0,0.333,2,0.35
C00000699,1,0.329,2,0.35
C00000700,0,0.302,2,0.35
C00000701,0,0.337,2,0.35
C00000702,0,0.336,2,0.35
C00000703,0,0.312,2,0.35
C00000704,1,0.328,2,0.35
C00000705,0,0.34,2,0.35
C00000706,0,0.333,2,0.35
C00000707,1,0.344,2,0.35
C00000708,1,0.326,2,0.35
C00000709,0,0.349,2,0.35
C00000710,0,0.353,2,0.35
C00000711,1,0.345,2,0.35
C00000712,1,0.322,2,0.35
C00000713,1,0.316,2,0.35
C00000714,1,0.343,2,0.35
C00000715,1,0.323,2,0.35
C00000716,0,0.297,2,0.35
C00000717,0,0.358,2,0.35
C00000718,0,0.359,2,0.35
C00000719,1,0.324,2,0.35
C00000720,1,0.33,2,0.35
C00000721,0,0.324,2,0.35
C00000722,0,0.306,2,0.35
C00000723,0,0.35,2,0.35
C00000724,1,0.35,2,0.35
C00000725,0,0.306,2,0.35
C00000726,0,0.316,2,0.35
C00000727,0,0.333,2,0.35
C00000728,0,0.308,2,0.35
C00000729,0,0.317,2,0.35
C00000730,0,0.337,2,0.35
C00000731,0,0.324,2,0.35
C00000732,0,0.341,2,0.35
C00000733,0,0.308,2,0.35
C00000734,0,0.329,2,0.35
C00000735,0,0.311,2,0.35
C00000736,1,0.325,2,0.35
C00000737,0,0.34,2,0.35
C00000738,0,0.313,2,0.35
C00000739,0,0.31,2,0.35
C00000740,0,0.339,2,0.35
C00000741,0,0.32,2,0.35
C00000742,0,0.313,2,0.35
C00000743,1,0.307,2,0.35
C00000744,0,0.308,2,0.35
C00000745,0,0.332,2,0.35
C00000746,0,0.319,2,0.35
C00000747,0,0.33,2,0.35
C00000748,0,0.312,2,0.35
C00000749,1,0.339,2,0.35
C00000750,1,0.329,2,0.35
C00000751,0,0.337,2,0.35
C00000752,0,0.309,2,0.35
C00000753,0,0.32,2,0.35
C00000754,0,0.297,2,0.35
C00000755,1,0.323,2,0.35
C00000756,0,0.319,2,0.35
C00000757,0,0.305,2,0.35
C00000758,1,0.334,2,0.35
C00000759,0,0.354,2,0.35
C00000760,0,0.328,2,0.35
C00000761,1,0.323,2,0.35
C00000762,0,0.312,2,0.35
C00000763,0,0.302,2,0.35
C00000764,0,0.34,2,0.35
C00000765,1,0.34,2,0.35
C00000766,0,0.341,2,0.35
C00000767,0,0.331,2,0.35
C00000768,0,0.343,2,0.35
C00000769,0,0.297,2,0.35
C00000770,0,0.314,2,0.35
C00000771,0,0.328,2,0.35
C00000772,0,0.355,2,0.35
C00000773,0,0.311,2,0.35
C00000774,1,0.329,2,0.35
C00000775,0,0.326,2,0.35
C00000776,1,0.307,2,0.35
C00000777,0,0.341,2,0.35
C00000778,0,0.345,2,0.35
C00000779,1,0.32,2,0.35
C00000780,1,0.3,2,0.35
C00000781,0,0.35,2,0.35
C00000782,1,0.349,2,0.35
C00000783,0,0.33,2,0.35
C00000784,0,0.362,2,0.35
C00000785,1,0.328,2,0.35
C00000786,0,0.333,2,0.35
C00000787,1,0.329,2,0.35
C00000788,0,0.356,2,0.35
C00000789,1,0.335,2,0.35
C00000790,0,0.355,2,0.35
C00000791,0,0.343,2,0.35
C00000792,0,0.325,2,0.35
C00000793,0,0.3,2,0.35
C00000794,0,0.343,2,0.35
C00000795,0,0.297,2,0.35
C00000796,0,0.337,2,0.35
C00000797,0,0.294,2,0.35
C00000798,0,0.326,2,0.35
C00000799,1,0.333,2,0.35
C00000800,1,0.35,2,0.35
C00000801,1,0.34,2,0.35
C00000802,0,0.321,2,0.35
C00000803,1,0.311,2,0.35
C00000804,0,0.329,2,0.35
C00000805,0,0.304,2,0.35
C00000806,0,0.332,2,0.35
C00000807,1,0.316,2,0.35
C00000808,0,0.364,2,0.35
C00000809,0,0.302,2,0.35
C00000810,1,0.339,2,0.35
C00000811,0,0.318,2,0.35
C00000812,0,0.332,2,0.35
C00000813,1,0.322,2,0.35
C00000814,0,0.313,2,0.35
C00000815,0,0.304,2,0.35
C00000816,1,0.328,2,0.35
C00000817,1,0.341,2,0.35
C00000818,0,0.323,2,0.35
C00000819,0,0.307,2,0.35
