id_cliente,fecha_alta,ingreso_mensual,region,segmento
C00000283,2021-03-10,612212,IV,mass
C00000284,2020-07-15,643304,VI,mass
C00000285,2021-06-25,300000,XI,mass_affluent
C00000286,2020-02-20,672326,VII,mass
C00000287,2018-01-12,781623,XVI,mass
C00000288,2023-01-08,990085,XIV,mass
C00000289,2023-10-05,569772,II,mass
C00000290,2023-07-26,674882,XI,mass
C00000291,2024-12-09,2823691,XIV,affluent
C00000292,2021-05-24,991370,XV,mass
C00000293,2021-03-03,2715948,IX,pyme
C00000294,2021-07-06,893621,XI,mass
C00000295,2022-08-23,3882136,VI,affluent
C00000296,2022-11-22,3103467,XV,pyme
C00000297,2024-05-30,1776647,IV,pyme
C00000298,2022-03-02,4710407,VIII,affluent
C00000299,2020-01-30,549074,XI,mass_affluent
C00000300,2024-11-18,1949153,III,mass_affluent
C00000301,2019-12-29,1720011,XVI,mass_affluent
C00000302,2018-01-11,1111055,V,mass
C00000303,2024-08-05,741709,RM,mass
C00000304,2022-08-22,675925,IX,mass
C00000305,2019-12-17,1898006,III,affluent
C00000306,2019-10-31,534129,XIV,mass
C00000307,2021-02-02,758248,VI,mass
C00000308,2022-03-01,1078950,VI,mass_affluent
C00000309,2019-03-02,622140,X,mass
C00000310,2020-09-26,534939,VII,mass
C00000311,2024-03-17,1058479,VIII,mass
C00000312,2022-08-06,619351,VI,mass
C00000313,2020-07-04,900428,VIII,mass
C00000314,2022-09-06,768455,VIII,mass
C00000315,2021-05-15,886754,VIII,mass
C00000316,2024-05-03,734419,XV,mass
C00000317,2025-03-03,993721,VIII,mass
C00000318,2019-02-22,1806771,II,mass_affluent
C00000319,2025-06-19,1102347,XVI,mass
C00000320,2025-04-06,1706963,VIII,pyme
C00000321,2022-09-28,1483870,VII,pyme
C00000322,2023-09-22,702793,VIII,mass
C00000323,2022-08-02,828364,XII,mass
C00000324,2022-07-31,931738,XVI,mass
C00000325,2018-08-13,2373260,IV,affluent
C00000326,2021-01-06,1599955,XII,mass_affluent
C00000327,2024-09-14,2817334,XV,affluent
C00000328,2022-02-17,733454,IX,mass
C00000329,2022-02-11,1495627,XVI,mass_affluent
C00000330,2018-05-07,1175241,X,mass
C00000331,2021-12-24,1895284,II,mass_affluent
C00000332,2018-08-05,1062264,RM,mass
C00000333,2020-11-25,1681220,X,mass_affluent
C00000334,2020-04-16,4761160,RM,affluent
C00000335,2022-01-23,1022465,VII,mass
C00000336,2025-06-01,787263,RM,mass_affluent
C00000337,2024-08-12,981899,V,mass
C00000338,2020-01-18,1669214,VII,mass_affluent
C00000339,2024-05-14,955546,III,mass
C00000340,2024-11-22,700032,VIII,pyme
C00000341,2022-09-18,434076,XI,mass
C00000342,2024-06-09,2385935,XII,pyme
C00000343,2021-07-06,1244156,VIII,affluent
C00000344,2023-10-20,1851658,XII,mass_affluent
C00000345,2023-11-26,1573910,XV,mass_affluent
C00000346,2023-06-15,2473879,IX,mass_affluent
C00000347,2022-01-09,2949452,XIV,pyme
C00000348,2021-03-23,973464,XV,mass
C00000349,2019-01-25,1789488,II,mass_affluent
C00000350,2019-12-10,819626,RM,mass
C00000351,2022-11-07,1558812,VI,mass_affluent
C00000352,2019-08-26,785896,IX,mass
C00000353,2018-05-17,306723,X,mass_affluent
C00000354,2023-07-20,2061110,V,mass_affluent
C00000355,2020-04-26,1083045,VIII,mass
C00000356,2024-03-28,1015951,XV,mass
C00000357,2022-04-17,1544384,VIII,mass_affluent
C00000358,2025-05-19,1432466,XV,mass_affluent
C00000359,2023-04-05,516389,II,mass
C00000360,2020-09-10,873947,VIII,mass_affluent
C00000361,2022-02-24,1787210,IX,pyme
C00000362,2019-06-24,850812,V,mass
C00000363,2019-01-05,893366,IV,mass
C00000364,2022-01-20,671241,V,mass
C00000365,2020-10-12,848184,RM,mass_affluent
C00000366,2020-11-03,633358,V,mass
C00000367,2021-06-26,1440357,XVI,mass_affluent
C00000368,2019-06-13,719159,VIII,mass_affluent
C00000369,2025-03-15,845739,II,mass
C00000370,2022-03-01,4612098,VIII,affluent
C00000371,2025-04-21,1098364,V,mass_affluent
C00000372,2024-10-16,1329820,VIII,mass
C00000373,2022-12-18,623858,V,mass
C00000374,2018-04-29,744271,VIII,mass
C00000375,2019-10-11,920809,XII,mass
C00000376,2020-10-19,788423,X,mass
C00000377,2018-12-13,465618,VIII,pyme
C00000378,2018-11-25,862571,II,mass
C00000379,2019-06-01,819437,XII,mass
C00000380,2020-02-10,1368571,XII,mass_affluent
C00000381,2022-03-27,1535844,V,mass_affluent
C00000382,2023-04-10,3030695,XV,pyme
C00000383,2018-02-12,1056617,X,mass_affluent
C00000384,2020-07-05,933974,X,mass
C00000385,2019-02-18,647671,VII,mass
C00000386,2019-08-15,4342397,IV,pyme
C00000387,2025-04-08,2020073,III,mass_affluent
C00000388,2025-04-16,1304083,XV,pyme
C00000389,2025-04-12,1107491,XIV,mass
C00000390,2021-03-10,3407437,IV,affluent
C00000391,2020-12-13,1765092,V,mass_affluent
C00000392,2019-07-17,754639,V,mass
C00000393,2024-10-31,1328585,II,mass_affluent
C00000394,2019-09-18,1364778,III,mass_affluent
C00000395,2019-08-09,561725,IX,mass
C00000396,2018-12-26,332251,IV,mass
C00000397,2020-09-13,2362130,VIII,affluent
C00000398,2023-01-21,639328,IX,mass
C00000399,2022-02-19,527532,XVI,mass
C00000400,2023-10-25,945510,XI,mass
C00000401,2025-01-17,861020,II,mass
C00000402,2023-02-23,1789018,VII,pyme
C00000403,2020-01-14,1344264,IX,mass_affluent
C00000404,2024-03-27,855772,XIV,mass
C00000405,2018-01-12,1627751,X,pyme
C00000406,2023-12-01,445736,X,affluent
C00000407,2018-09-02,1099106,XII,mass
C00000408,2020-07-13,2885399,VIII,affluent
C00000409,2018-04-02,867561,XV,mass
C00000410,2020-09-26,2706435,X,pyme
C00000411,2020-02-02,778515,XIV,mass_affluent
C00000412,2020-10-28,1156513,XII,mass_affluent
C00000413,2021-09-01,796666,VI,mass
C00000414,2018-08-23,2800821,VI,affluent
C00000415,2018-01-03,516378,XI,mass
C00000416,2024-08-27,885643,VI,mass
C00000417,2018-12-22,942317,VI,mass
C00000418,2024-12-22,1309657,IV,mass_affluent
C00000419,2020-10-29,1050622,RM,mass
C00000420,2025-06-03,3139464,XV,pyme
C00000421,2024-06-17,1693277,XIV,mass_affluent
C00000422,2022-05-21,675135,IV,mass
C00000423,2022-11-02,757567,RM,mass
C00000424,2025-01-29,1008318,XVI,mass
C00000425,2021-05-16,775342,V,mass_affluent
C00000426,2019-10-28,1615608,RM,affluent
C00000427,2019-03-14,698055,XVI,mass
C00000428,2023-01-21,2979780,VI,affluent
C00000429,2022-07-25,775622,III,mass
C00000430,2021-10-09,3522060,III,affluent
C00000431,2022-06-02,2789893,XI,pyme
C00000432,2020-08-19,1510436,VII,mass_affluent
C00000433,2021-09-06,1349112,XI,mass_affluent
C00000434,2022-03-23,3816731,XI,affluent
C00000435,2018-12-05,1100041,II,mass
C00000436,2022-01-11,725975,VII,mass
C00000437,2018-04-14,897330,IV,mass
C00000438,2024-06-03,735585,III,mass
C00000439,2021-11-07,895181,VIII,mass_affluent
C00000440,2022-06-14,666425,XV,mass_affluent
C00000441,2019-04-12,4175931,II,affluent
C00000442,2024-01-09,999923,VIII,mass
C00000443,2024-06-07,1701207,V,mass_affluent
C00000444,2023-05-14,1049559,IX,mass
C00000445,2022-08-03,599782,X,mass
C00000446,2022-09-02,1945329,VI,mass_affluent
C00000447,2020-02-21,2918175,XII,pyme
C00000448,2019-02-21,1284560,IV,mass_affluent
C00000449,2019-06-01,300000,IV,mass
C00000450,2018-08-12,785049,II,mass_affluent
C00000451,2021-02-15,1229920,VI,mass
C00000452,2024-02-27,4685350,V,affluent
C00000453,2025-05-09,790990,XV,mass_affluent
C00000454,2019-11-04,300797,II,mass
C00000455,2021-05-24,1125745,RM,mass
C00000456,2022-01-07,779752,III,mass
C00000457,2023-09-14,1635492,VI,pyme
C00000458,2019-08-22,491532,III,mass
C00000459,2019-06-24,879003,X,mass_affluent
C00000460,2020-01-04,2152281,VIII,mass_affluent
C00000461,2019-09-09,1624653,XV,mass_affluent
C00000462,2018-04-06,351920,IX,mass
C00000463,2018-07-25,1657509,IX,pyme
C00000464,2021-07-30,1195651,II,mass
C00000465,2018-04-07,1650753,XI,mass_affluent
C00000466,2022-11-29,801512,XVI,mass_affluent
C00000467,2023-06-08,1175142,III,mass_affluent
C00000468,2024-04-02,2368570,VI,pyme
C00000469,2018-10-09,1037365,VI,mass
C00000470,2025-06-15,775371,VIII,mass
C00000471,2023-10-18,1144317,XII,mass
C00000472,2022-11-12,865631,IV,mass
C00000473,2019-11-14,300000,XII,mass
C00000474,2020-11-25,933711,XIV,mass
C00000475,2023-11-04,754396,XIV,mass
C00000476,2022-01-09,673604,VII,mass
C00000477,2023-12-03,898585,V,mass
C00000478,2023-02-15,1375643,X,mass_affluent
C00000479,2018-05-13,1600612,VI,mass_affluent
C00000480,2019-06-21,669155,VII,mass
C00000481,2024-06-30,659248,VII,mass
C00000482,2022-10-25,1076798,X,mass
C00000483,2021-10-09,1557087,XVI,mass_affluent
C00000484,2021-12-03,902384,XV,mass
C00000485,2021-11-28,655565,III,mass
C00000486,2021-04-17,1066030,XV,mass
C00000487,2025-01-31,851469,VIII,mass
C00000488,2023-03-20,715543,VIII,mass
C00000489,2022-04-02,2133310,VI,mass_affluent
C00000490,2025-01-26,1330893,VI,mass_affluent
C00000491,2018-10-09,1590325,II,mass_affluent
C00000492,2023-06-07,898732,XIV,mass_affluent
C00000493,2019-11-04,1187190,XI,mass_affluent
C00000494,2018-01-15,994150,II,mass
C00000495,2024-08-09,1474747,III,mass_affluent
C00000496,2023-11-19,823041,XV,mass
C00000497,2021-06-21,777535,XI,mass
C00000498,2019-01-17,1475542,XII,mass_affluent
C00000499,2020-01-03,664929,XIV,mass
C00000500,2021-02-12,682325,IV,mass
C00000501,2024-04-05,1353002,XVI,mass_affluent
C00000502,2025-04-06,2709980,XVI,affluent
C00000503,2024-10-03,3054747,IV,pyme
C00000504,2018-03-14,907260,VI,mass
C00000505,2018-09-03,1129416,XVI,mass
C00000506,2022-05-05,1846297,IV,mass_affluent
C00000507,2021-11-08,578494,VI,mass
C00000508,2020-03-02,2330134,IX,affluent
C00000509,2021-04-08,1032628,XII,mass
C00000510,2025-05-28,965025,III,mass
C00000511,2022-07-19,1059785,IX,mass
C00000512,2019-12-12,2995991,VI,affluent
C00000513,2019-08-21,735045,XVI,mass
C00000514,2024-01-19,885624,II,mass
C00000515,2025-02-21,456458,VIII,mass
C00000516,2021-12-28,750572,III,mass
C00000517,2022-09-13,1289806,XVI,mass
C00000518,2022-10-23,1334964,XIV,mass_affluent
C00000519,2023-12-13,796104,XII,mass
C00000520,2020-10-14,2796839,XIV,affluent
C00000521,2020-04-27,4502803,XV,affluent
C00000522,2018-11-04,503839,IV,mass
C00000523,2022-05-10,968653,V,mass
C00000524,2022-06-18,1300151,XVI,mass_affluent
C00000525,2022-03-17,637526,VIII,mass
C00000526,2018-12-14,381010,RM,mass
C00000527,2021-02-25,4557357,IV,pyme
C00000528,2023-02-20,3368171,XI,pyme
C00000529,2023-10-06,836578,XI,mass_affluent
C00000530,2020-01-09,485203,IV,mass
C00000531,2020-07-19,1177126,VI,mass_affluent
C00000532,2019-01-26,1749647,XVI,mass_affluent
C00000533,2018-10-16,767921,RM,mass
C00000534,2019-10-03,1043416,XIV,mass_affluent
C00000535,2025-06-03,779808,III,mass
C00000536,2020-04-14,1116975,XV,mass
C00000537,2023-06-07,948753,RM,mass
C00000538,2018-07-06,348394,II,mass
C00000539,2020-04-29,537000,X,mass
C00000540,2021-11-12,2869122,XI,affluent
C00000541,2018-03-03,2660782,VI,pyme
C00000542,2025-06-17,2154498,IV,mass_affluent
C00000543,2018-08-28,2989883,II,affluent
C00000544,2023-05-14,3147051,XII,pyme
C00000545,2024-11-19,300000,VIII,mass
C00000546,2023-09-11,700614,XV,mass
C00000547,2023-02-21,974719,XIV,mass
C00000548,2020-06-22,1272124,VI,mass
C00000549,2025-06-20,830178,IX,mass_affluent
C00000550,2020-11-23,757091,III,mass
C00000551,2020-08-31,359593,II,mass
C00000552,2018-02-09,749033,V,mass
C00000553,2019-12-11,1060420,II,mass
C00000554,2019-10-24,3607754,VII,pyme
C00000555,2019-06-27,787808,XVI,mass
C00000556,2023-08-20,735394,V,mass
C00000557,2024-11-18,1450203,IV,mass
C00000558,2024-06-09,745537,V,mass
C00000559,2022-03-11,1224534,XII,mass_affluent
C00000560,2023-09-24,659042,XVI,mass
C00000561,2020-10-15,432806,RM,mass
C00000562,2023-02-27,909517,VII,mass
C00000563,2023-08-11,3647699,VIII,affluent
C00000564,2025-02-07,1806260,RM,mass_affluent
C00000565,2024-01-11,1886728,VII,mass_affluent
C00000566,2020-10-14,1201436,IX,mass_affluent
C00000567,2024-11-07,1417050,XV,mass_affluent
C00000568,2019-03-06,1087601,IV,mass
C00000569,2020-04-14,682103,III,mass
C00000570,2023-03-13,659169,VIII,mass
C00000571,2020-11-11,1048347,VII,mass
C00000572,2021-09-28,2202437,XIV,affluent
C00000573,2025-02-16,513533,X,mass
C00000574,2018-04-22,974386,VIII,mass_affluent
C00000575,2024-09-10,5700944,IX,affluent
C00000576,2021-09-26,1051305,VIII,mass
C00000577,2018-01-12,3244409,III,pyme
C00000578,2018-05-22,1029956,II,mass_affluent
C00000579,2018-10-22,3497603,III,affluent
C00000580,2021-06-27,1223380,VI,mass
C00000581,2024-02-01,890109,XVI,mass
C00000582,2018-06-10,523394,VIII,mass
C00000583,2024-05-09,933458,XV,mass
C00000584,2025-01-05,759860,IV,mass
C00000585,2018-01-17,2664167,VIII,pyme
C00000586,2024-03-05,1016929,XV,mass_affluent
C00000587,2018-07-17,609482,VII,mass
C00000588,2025-03-01,681760,VII,mass
C00000589,2024-12-06,605487,IV,mass
C00000590,2023-03-12,785234,VIII,mass
C00000591,2023-06-23,1679373,RM,pyme
C00000592,2019-07-11,1209194,XIV,mass
C00000593,2020-04-30,922908,RM,mass
C00000594,2022-04-10,1879085,IX,mass_affluent
C00000595,2021-09-11,765238,IV,mass
C00000596,2020-03-28,300000,XIV,mass
C00000597,2025-01-24,1919672,VI,mass_affluent
C00000598,2022-09-27,1445202,V,mass_affluent
C00000599,2021-08-22,2999831,V,pyme
C00000600,2025-02-20,1464353,VIII,mass_affluent
C00000601,2023-11-07,300000,VI,mass
C00000602,2024-12-08,1284798,V,mass_affluent
C00000603,2018-10-09,1508326,II,pyme
C00000604,2018-06-12,1603811,IX,mass_affluent
C00000605,2024-10-26,3049874,VIII,pyme
C00000606,2022-07-02,2577342,X,mass_affluent
C00000607,2019-09-22,3466732,IV,affluent
C00000608,2024-03-25,659900,XII,mass
C00000609,2021-10-16,1288532,RM,mass_affluent
C00000610,2019-07-12,928919,X,mass
C00000611,2020-11-17,1922439,VII,mass_affluent
C00000612,2023-02-24,877126,XII,mass_affluent
