id_cliente,id_cuenta,limite,apr
C00000066,T00000066,3475351,0.2195
C00000067,T00000067,4271783,0.2726
C00000068,T00000068,2273858,0.2442
C00000069,T00000069,1322873,0.336
C00000070,T00000070,3283720,0.2899
C00000071,T00000071,3423074,0.2342
C00000072,T00000072,961807,0.3361
C00000073,T00000073,5000000,0.2957
C00000074,T00000074,2632220,0.2657
C00000075,T00000075,2239715,0.2462
C00000076,T00000076,3022571,0.294
C00000077,T00000077,1815450,0.2544
C00000078,T00000078,3198630,0.3215
C00000079,T00000079,2280575,0.2262
C00000080,T00000080,3343430,0.317
C00000081,T00000081,5000000,0.3252
C00000082,T00000082,1637165,0.321
C00000083,T00000083,5000000,0.2604
C00000084,T00000084,2407641,0.2409
C00000085,T00000085,1485462,0.3087
C00000086,T00000086,3147016,0.3236
C00000087,T00000087,3303655,0.2888
C00000088,T00000088,1310204,0.3392
C00000089,T00000089,3087162,0.3323
C00000090,T00000090,4059003,0.2384
C00000091,T00000091,2209386,0.2614
C00000092,T00000092,4049749,0.2685
C00000093,T00000093,1068756,0.3125
C00000094,T00000094,1467058,0.3176
C00000095,T00000095,1412817,0.2779
C00000096,T00000096,5000000,0.2695
C00000097,T00000097,2500384,0.3149
C00000098,T00000098,2822690,0.3109
C00000099,T00000099,1645671,0.3037
C00000100,T00000100,787794,0.2447
C00000101,T00000101,5000000,0.2348
C00000102,T00000102,2377161,0.2763
C00000103,T00000103,3620638,0.2736
C00000104,T00000104,5000000,0.3009
C00000105,T00000105,5000000,0.2801
C00000106,T00000106,2692853,0.2453
C00000107,T00000107,1513399,0.3442
C00000108,T00000108,2263077,0.2724
C00000109,T00000109,738210,0.3205
C00000110,T00000110,5000000,0.2985
C00000111,T00000111,3242740,0.322
C00000112,T00000112,2759508,0.2584
C00000113,T00000113,4027111,0.3243
C00000114,T00000114,2541909,0.2932
C00000115,T00000115,838909,0.2445
C00000116,T00000116,4781212,0.2475
C00000117,T00000117,3053899,0.2163
C00000118,T00000118,4278575,0.2168
C00000119,T00000119,2008513,0.236
C00000120,T00000120,3798330,0.2681
C00000121,T00000121,5000000,0.2485
C00000122,T00000122,4829426,0.2355
C00000123,T00000123,1095859,0.3454
C00000124,T00000124,3326157,0.3067
C00000125,T00000125,3316068,0.233
C00000126,T00000126,1884728,0.2824
C00000127,T00000127,1952760,0.3006
C00000128,T00000128,1203421,0.2965
C00000129,T00000129,2994395,0.3166
C00000130,T00000130,2969408,0.22
C00000131,T00000131,1061764,0.2679
C00000132,T00000132,4530679,0.243
C00000133,T00000133,4157454,0.3258
C00000134,T00000134,1888862,0.3052
C00000135,T00000135,3948703,0.2542
C00000136,T00000136,2248089,0.3397
C00000137,T00000137,5000000,0.3164
C00000138,T00000138,1289839,0.3131
C00000139,T00000139,2243474,0.2873
C00000140,T00000140,991641,0.262
C00000141,T00000141,2462865,0.2926
C00000142,T00000142,2711227,0.3307
C00000143,T00000143,3883314,0.2393
C00000144,T00000144,5000000,0.2945
C00000145,T00000145,3753701,0.2816
C00000146,T00000146,741770,0.2828
C00000147,T00000147,1456244,0.3428
C00000148,T00000148,1535023,0.2815
C00000149,T00000149,1470982,0.3289
C00000150,T00000150,3237579,0.3156
C00000151,T00000151,2719668,0.2044
C00000152,T00000152,5000000,0.2454
C00000153,T00000153,3240424,0.2386
C00000154,T00000154,4079752,0.2947
C00000155,T00000155,2461457,0.2568
C00000156,T00000156,2857995,0.3004
C00000157,T00000157,2006608,0.2796
C00000158,T00000158,5000000,0.2377
C00000159,T00000159,2879749,0.2893
C00000160,T00000160,3416258,0.2405
C00000161,T00000161,1215679,0.2732
C00000162,T00000162,5000000,0.3023
C00000163,T00000163,897099,0.3256
C00000164,T00000164,1164134,0.2303
C00000165,T00000165,3317693,0.2587
C00000166,T00000166,2674173,0.2552
C00000167,T00000167,5000000,0.2742
C00000168,T00000168,5000000,0.2663
C00000169,T00000169,1121997,0.3308
C00000170,T00000170,5000000,0.3025
C00000171,T00000171,2313526,0.3202
C00000172,T00000172,1443211,0.2786
C00000173,T00000173,2036809,0.2401
C00000174,T00000174,5000000,0.2495
C00000175,T00000175,2162135,0.2781
C00000176,T00000176,2067630,0.3383
C00000177,T00000177,2408240,0.3409
C00000178,T00000178,3815290,0.2794
C00000179,T00000179,5000000,0.2232
C00000180,T00000180,5000000,0.2738
C00000181,T00000181,5000000,0.2586
C00000182,T00000182,2718954,0.2727
C00000183,T00000183,2476160,0.3398
C00000184,T00000184,1326119,0.3395
C00000185,T00000185,1254308,0.2861
C00000186,T00000186,4036764,0.228
C00000187,T00000187,3531749,0.2696
C00000188,T00000188,1472279,0.3397
C00000189,T00000189,4225407,0.293
C00000190,T00000190,3001871,0.2839
C00000191,T00000191,4758998,0.2605
C00000192,T00000192,1555862,0.2742
C00000193,T00000193,2376949,0.3401
C00000194,T00000194,5000000,0.2542
C00000195,T00000195,2482923,0.2524
C00000196,T00000196,1221141,0.2546
C00000197,T00000197,5000000,0.2502
C00000198,T00000198,5000000,0.239
C00000199,T00000199,2269549,0.3194
C00000200,T00000200,705780,0.2589
C00000201,T00000201,4512825,0.3002
C00000202,T00000202,3512236,0.2309
C00000203,T00000203,2921162,0.3132
C00000204,T00000204,3463554,0.347
C00000205,T00000205,2373668,0.3081
C00000206,T00000206,2988905,0.2404
C00000207,T00000207,1482488,0.3127
C00000208,T00000208,2492040,0.3237
C00000209,T00000209,2808536,0.2462
C00000210,T00000210,2542182,0.2888
C00000211,T00000211,2777563,0.3193
C00000212,T00000212,915408,0.223
C00000213,T00000213,1605410,0.2838
C00000214,T00000214,2569459,0.2745
C00000215,T00000215,3299637,0.2391
C00000216,T00000216,2255277,0.2833
C00000217,T00000217,1401925,0.3209
C00000218,T00000218,1557340,0.2984
C00000219,T00000219,4354490,0.2924
C00000220,T00000220,598886,0.297
C00000221,T00000221,1752424,0.2507
C00000222,T00000222,1469743,0.2982
C00000223,T00000223,5000000,0.2889
C00000224,T00000224,5000000,0.3277
C00000225,T00000225,2237373,0.3454
C00000226,T00000226,5000000,0.2847
C00000227,T00000227,2850366,0.3407
C00000228,T00000228,4449079,0.3128
C00000229,T00000229,5000000,0.3226
C00000230,T00000230,1042772,0.2308
C00000231,T00000231,1866547,0.2425
C00000232,T00000232,2188053,0.2687
C00000233,T00000233,5000000,0.31
C00000234,T00000234,5000000,0.2672
C00000235,T00000235,1585305,0.2512
C00000236,T00000236,5000000,0.2264
C00000237,T00000237,889688,0.3187
C00000238,T00000238,4909866,0.3122
C00000239,T00000239,1835813,0.2755
C00000240,T00000240,2315183,0.2606
C00000241,T00000241,5000000,0.2249
C00000242,T00000242,2266889,0.3082
C00000243,T00000243,1838491,0.3352
C00000244,T00000244,1771936,0.3419
C00000245,T00000245,2004702,0.2818
C00000246,T00000246,5000000,0.2767
C00000247,T00000247,3324248,0.2597
C00000248,T00000248,2017549,0.2477
C00000249,T00000249,2200417,0.2527
C00000250,T00000250,892749,0.3065
C00000251,T00000251,3158169,0.2229
C00000252,T00000252,5000000,0.2057
C00000253,T00000253,1503663,0.2323
C00000254,T00000254,1800150,0.2696
C00000255,T00000255,1650011,0.3029
C00000256,T00000256,3659270,0.3184
C00000257,T00000257,4792165,0.2306
C00000258,T00000258,3007714,0.3154
C00000259,T00000259,2136028,0.3227
C00000260,T00000260,2839614,0.3039
C00000261,T00000261,2191775,0.3486
C00000262,T00000262,5000000,0.2422
C00000263,T00000263,963110,0.34
C00000264,T00000264,3282948,0.313
C00000265,T00000265,4763375,0.2702
C00000266,T00000266,1264798,0.2859
C00000267,T00000267,2439921,0.2773
C00000268,T00000268,1844937,0.2923
C00000269,T00000269,2137310,0.2978
C00000270,T00000270,1808046,0.2727
C00000271,T00000271,2260065,0.2989
C00000272,T00000272,1746971,0.2607
C00000273,T00000273,2052693,0.2955
C00000274,T00000274,3830917,0.3094
C00000275,T00000275,5000000,0.3161
C00000276,T00000276,1448423,0.3446
C00000277,T00000277,2319540,0.2764
C00000278,T00000278,2160248,0.248
C00000279,T00000279,4533176,0.2296
C00000280,T00000280,5000000,0.29
C00000281,T00000281,2145321,0.2332
C00000282,T00000282,2306123,0.2838
C00000283,T00000283,1387498,0.3217
C00000284,T00000284,2168022,0.3108
C00000285,T00000285,630396,0.248
C00000286,T00000286,1593157,0.3244
C00000287,T00000287,2328273,0.2604
C00000288,T00000288,3192138,0.2791
C00000289,T00000289,944477,0.2316
C00000290,T00000290,1308765,0.2512
C00000291,T00000291,5000000,0.2749
C00000292,T00000292,2285828,0.3481
C00000293,T00000293,5000000,0.2591
C00000294,T00000294,1948075,0.2501
C00000295,T00000295,5000000,0.2852
C00000296,T00000296,5000000,0.3148
C00000297,T00000297,5000000,0.256
C00000298,T00000298,5000000,0.2648
C00000299,T00000299,1554416,0.2815
C00000300,T00000300,4375800,0.2661
C00000301,T00000301,3222018,0.2507
C00000302,T00000302,1952975,0.2774
C00000303,T00000303,1320395,0.2736
C00000304,T00000304,2000909,0.3454
C00000305,T00000305,4015027,0.2273
C00000306,T00000306,1215765,0.2708
C00000307,T00000307,2230426,0.2497
C00000308,T00000308,2279289,0.2314
C00000309,T00000309,1976006,0.2704
C00000310,T00000310,1216921,0.2592
C00000311,T00000311,2729373,0.2946
C00000312,T00000312,1060301,0.3144
C00000313,T00000313,1433718,0.34
C00000314,T00000314,2459867,0.3084
C00000315,T00000315,2076485,0.2637
C00000316,T00000316,1810841,0.258
C00000317,T00000317,1527722,0.3284
C00000318,T00000318,3903395,0.3208
C00000319,T00000319,3391499,0.3363
C00000320,T00000320,4928234,0.316
C00000321,T00000321,2715782,0.3359
C00000322,T00000322,1330167,0.2593
C00000323,T00000323,2309332,0.239
C00000324,T00000324,2154651,0.3092
C00000325,T00000325,3753211,0.2152
C00000326,T00000326,4876764,0.3196
C00000327,T00000327,5000000,0.2165
C00000328,T00000328,1125513,0.3061
C00000329,T00000329,2638487,0.3146
C00000330,T00000330,3288349,0.298
C00000331,T00000331,3838915,0.3297
C00000332,T00000332,2768711,0.3304
C00000333,T00000333,3809881,0.3097
C00000334,T00000334,5000000,0.2325
C00000335,T00000335,3479669,0.2382
C00000336,T00000336,1396773,0.3106
C00000337,T00000337,1535533,0.3411
C00000338,T00000338,4537920,0.2193
C00000339,T00000339,1738108,0.333
C00000340,T00000340,1723175,0.2578
C00000341,T00000341,689741,0.3266
C00000342,T00000342,5000000,0.2447
C00000343,T00000343,3949896,0.247
C00000344,T00000344,5000000,0.2216
C00000345,T00000345,4393826,0.2884
C00000346,T00000346,5000000,0.2217
C00000347,T00000347,5000000,0.2719
C00000348,T00000348,2724169,0.3069
C00000349,T00000349,5000000,0.2457
C00000350,T00000350,2039371,0.3041
C00000351,T00000351,4535071,0.2486
C00000352,T00000352,1261352,0.2486
C00000353,T00000353,783762,0.3092
C00000354,T00000354,5000000,0.2299
C00000355,T00000355,2685292,0.29
C00000356,T00000356,3323269,0.3267
C00000357,T00000357,3129159,0.2773
C00000358,T00000358,4297017,0.3011
C00000359,T00000359,902045,0.2461
C00000360,T00000360,1639610,0.3173
C00000361,T00000361,2739393,0.2706
C00000362,T00000362,2949188,0.3238
C00000363,T00000363,2858660,0.2767
C00000364,T00000364,1295738,0.2774
C00000365,T00000365,1745647,0.2844
C00000366,T00000366,1669960,0.3423
C00000367,T00000367,4426215,0.2185
C00000368,T00000368,2205936,0.3174
C00000369,T00000369,1624929,0.3444
C00000370,T00000370,5000000,0.2208
C00000371,T00000371,1655171,0.2559
C00000372,T00000372,2912995,0.2838
C00000373,T00000373,1641859,0.2556
C00000374,T00000374,2269543,0.2485
C00000375,T00000375,2734794,0.3385
C00000376,T00000376,1385676,0.2649
C00000377,T00000377,1103840,0.2541
C00000378,T00000378,2730307,0.3013
C00000379,T00000379,2533734,0.3445
C00000380,T00000380,2622019,0.2554
C00000381,T00000381,2506941,0.2528
C00000382,T00000382,4642159,0.2826
C00000383,T00000383,2260377,0.2985
C00000384,T00000384,1833392,0.3256
C00000385,T00000385,1427151,0.2321
C00000386,T00000386,5000000,0.2214
C00000387,T00000387,4701818,0.2413
C00000388,T00000388,2007714,0.2338
C00000389,T00000389,1661483,0.329
C00000390,T00000390,5000000,0.2738
C00000391,T00000391,5000000,0.3007
C00000392,T00000392,1271374,0.3206
C00000393,T00000393,2708747,0.2714
C00000394,T00000394,3580223,0.2278
C00000395,T00000395,1796495,0.2865
C00000396,T00000396,753225,0.2615
C00000397,T00000397,5000000,0.2023
C00000398,T00000398,1082551,0.3035
C00000399,T00000399,1464919,0.2363
C00000400,T00000400,2414758,0.2813
C00000401,T00000401,2481768,0.3083
C00000402,T00000402,3167679,0.279
C00000403,T00000403,3959931,0.289
C00000404,T00000404,1317655,0.3403
C00000405,T00000405,3771289,0.2651
C00000406,T00000406,986187,0.2545
C00000407,T00000407,2860036,0.2419
C00000408,T00000408,5000000,0.2415
C00000409,T00000409,2471368,0.318
C00000410,T00000410,5000000,0.2741
C00000411,T00000411,2186605,0.2994
C00000412,T00000412,3083289,0.3141
C00000413,T00000413,1934835,0.3109
C00000414,T00000414,5000000,0.2043
C00000415,T00000415,1794108,0.2695
C00000416,T00000416,1873702,0.3029
C00000417,T00000417,2792940,0.3155
C00000418,T00000418,3986500,0.3044
C00000419,T00000419,2179876,0.2834
C00000420,T00000420,5000000,0.2812
C00000421,T00000421,3692180,0.2158
C00000422,T00000422,1297970,0.2535
C00000423,T00000423,2632431,0.2468
C00000424,T00000424,2785168,0.3194
C00000425,T00000425,2305085,0.3281
C00000426,T00000426,5000000,0.2077
C00000427,T00000427,1478517,0.2734
C00000428,T00000428,5000000,0.2807
C00000429,T00000429,1578235,0.2382
C00000430,T00000430,5000000,0.2254
C00000431,T00000431,4222724,0.2451
C00000432,T00000432,3174439,0.2831
C00000433,T00000433,4721384,0.2922
C00000434,T00000434,5000000,0.2694
C00000435,T00000435,3577669,0.2516
C00000436,T00000436,1272572,0.2687
C00000437,T00000437,1769860,0.287
C00000438,T00000438,1605451,0.2855
C00000439,T00000439,2536248,0.2412
C00000440,T00000440,1238330,0.2718
C00000441,T00000441,5000000,0.2077
C00000442,T00000442,3088133,0.3231
C00000443,T00000443,5000000,0.2397
C00000444,T00000444,1958766,0.2705
C00000445,T00000445,1266398,0.2429
C00000446,T00000446,4104718,0.242
C00000447,T00000447,5000000,0.2603
C00000448,T00000448,3255431,0.3273
C00000449,T00000449,808317,0.2791
C00000450,T00000450,1954165,0.2301
C00000451,T00000451,1863673,0.2355
C00000452,T00000452,5000000,0.2424
C00000453,T00000453,1284709,0.3166
C00000454,T00000454,495206,0.3086
C00000455,T00000455,3561385,0.3442
C00000456,T00000456,1802482,0.2931
C00000457,T00000457,2809819,0.3326
C00000458,T00000458,1682841,0.2352
C00000459,T00000459,1934271,0.3124
C00000460,T00000460,5000000,0.3212
C00000461,T00000461,4585049,0.3268
C00000462,T00000462,598143,0.3303
C00000463,T00000463,5000000,0.2303
C00000464,T00000464,3643323,0.2755
C00000465,T00000465,4870047,0.2369
C00000466,T00000466,2153072,0.2302
C00000467,T00000467,3464710,0.3272
C00000468,T00000468,5000000,0.3381
C00000469,T00000469,1783889,0.2713
C00000470,T00000470,1922681,0.2424
C00000471,T00000471,3004431,0.3119
C00000472,T00000472,2887509,0.3409
C00000473,T00000473,969617,0.2869
C00000474,T00000474,2286223,0.2977
C00000475,T00000475,1955218,0.3162
C00000476,T00000476,2016376,0.3369
C00000477,T00000477,2852738,0.2925
C00000478,T00000478,3585842,0.274
C00000479,T00000479,2655531,0.2684
C00000480,T00000480,1425453,0.2759
C00000481,T00000481,2283185,0.2787
C00000482,T00000482,3125984,0.2849
C00000483,T00000483,4301219,0.2251
C00000484,T00000484,1402264,0.2898
C00000485,T00000485,1161594,0.3432
C00000486,T00000486,3121576,0.2599
C00000487,T00000487,2300629,0.3469
C00000488,T00000488,2164958,0.2943
C00000489,T00000489,3276988,0.2691
C00000490,T00000490,3337617,0.2824
C00000491,T00000491,4804863,0.292
C00000492,T00000492,2035984,0.3256
C00000493,T00000493,3867439,0.2316
C00000494,T00000494,1524731,0.2843
C00000495,T00000495,4584585,0.3019
C00000496,T00000496,2699669,0.3365
C00000497,T00000497,1239780,0.3165
C00000498,T00000498,3786867,0.2903
C00000499,T00000499,1421006,0.2406
C00000500,T00000500,1460703,0.2925
C00000501,T00000501,2728873,0.2787
C00000502,T00000502,5000000,0.2521
C00000503,T00000503,4978956,0.2265
C00000504,T00000504,1429540,0.3134
C00000505,T00000505,2642628,0.3414
C00000506,T00000506,5000000,0.2448
C00000507,T00000507,1180037,0.3163
C00000508,T00000508,5000000,0.2875
C00000509,T00000509,2326239,0.3468
C00000510,T00000510,2477793,0.2769
C00000511,T00000511,3045206,0.3033
C00000512,T00000512,5000000,0.2592
C00000513,T00000513,1528955,0.3126
C00000514,T00000514,2820880,0.2787
C00000515,T00000515,1075825,0.3082
C00000516,T00000516,2164475,0.2873
C00000517,T00000517,3155563,0.2901
C00000518,T00000518,2830538,0.246
C00000519,T00000519,1385398,0.2436
C00000520,T00000520,5000000,0.2959
C00000521,T00000521,5000000,0.29
C00000522,T00000522,1528353,0.2497
C00000523,T00000523,1886514,0.347
C00000524,T00000524,3068245,0.2509
C00000525,T00000525,1816908,0.3007
C00000526,T00000526,989821,0.2927
C00000527,T00000527,5000000,0.3013
C00000528,T00000528,5000000,0.3291
C00000529,T00000529,1340593,0.2452
C00000530,T00000530,1429799,0.2887
C00000531,T00000531,2839008,0.2867
C00000532,T00000532,5000000,0.3252
C00000533,T00000533,1188629,0.2578
C00000534,T00000534,3196794,0.271
C00000535,T00000535,1542182,0.2604
C00000536,T00000536,1862135,0.3158
C00000537,T00000537,1677167,0.2657
C00000538,T00000538,1195006,0.3006
C00000539,T00000539,1279756,0.2637
C00000540,T00000540,5000000,0.2775
C00000541,T00000541,5000000,0.2987
C00000542,T00000542,4290145,0.2436
C00000543,T00000543,5000000,0.2947
C00000544,T00000544,5000000,0.3197
C00000545,T00000545,564742,0.3427
C00000546,T00000546,1765207,0.3031
C00000547,T00000547,1838852,0.35
C00000548,T00000548,2537243,0.2527
C00000549,T00000549,1678004,0.2192
C00000550,T00000550,1641984,0.3241
C00000551,T00000551,1162003,0.3002
C00000552,T00000552,1856928,0.2663
C00000553,T00000553,2146185,0.2351
C00000554,T00000554,5000000,0.2413
C00000555,T00000555,1800355,0.2432
C00000556,T00000556,1240280,0.3307
C00000557,T00000557,3784198,0.2531
C00000558,T00000558,1956210,0.3182
C00000559,T00000559,2848228,0.2251
C00000560,T00000560,1559525,0.3468
C00000561,T00000561,1259291,0.342
C00000562,T00000562,2413368,0.2475
C00000563,T00000563,5000000,0.2842
C00000564,T00000564,3692297,0.2935
C00000565,T00000565,5000000,0.318
C00000566,T00000566,3218413,0.272
C00000567,T00000567,4832934,0.2291
C00000568,T00000568,2688334,0.2321
C00000569,T00000569,1179140,0.2442
C00000570,T00000570,1172882,0.2857
C00000571,T00000571,2925094,0.3245
C00000572,T00000572,4398941,0.2334
C00000573,T00000573,1051282,0.3036
C00000574,T00000574,2446842,0.302
C00000575,T00000575,5000000,0.2784
C00000576,T00000576,2552751,0.3315
C00000577,T00000577,5000000,0.3158
C00000578,T00000578,2154088,0.3193
C00000579,T00000579,5000000,0.2916
C00000580,T00000580,2753965,0.2839
C00000581,T00000581,1772942,0.3361
C00000582,T00000582,1195434,0.3091
C00000583,T00000583,2473756,0.269
C00000584,T00000584,1580657,0.2307
C00000585,T00000585,5000000,0.2549
C00000586,T00000586,1902204,0.3141
C00000587,T00000587,1925610,0.3228
C00000588,T00000588,1123148,0.2843
C00000589,T00000589,1397531,0.3243
C00000590,T00000590,1879255,0.3383
C00000591,T00000591,5000000,0.3326
C00000592,T00000592,3890711,0.3176
C00000593,T00000593,1808285,0.2953
C00000594,T00000594,3222398,0.3069
C00000595,T00000595,2473975,0.2843
C00000596,T00000596,998711,0.3059
C00000597,T00000597,5000000,0.2811
C00000598,T00000598,3324834,0.3236
C00000599,T00000599,5000000,0.3088
C00000600,T00000600,4699071,0.3278
C00000601,T00000601,990026,0.3242
C00000602,T00000602,2569031,0.2342
C00000603,T00000603,3917930,0.3154
C00000604,T00000604,5000000,0.3101
C00000605,T00000605,4665434,0.3226
C00000606,T00000606,5000000,0.3148
C00000607,T00000607,5000000,0.2794
C00000608,T00000608,1486988,0.3404
C00000609,T00000609,2666471,0.3044
C00000610,T00000610,2026314,0.3237
C00000611,T00000611,4740781,0.2817
C00000612,T00000612,2436014,0.2737
C00000613,T00000613,5000000,0.3108
C00000614,T00000614,5000000,0.2393
C00000615,T00000615,1334631,0.2558
C00000616,T00000616,5000000,0.3071
C00000617,T00000617,5000000,0.2407
C00000618,T00000618,1270819,0.3334
C00000619,T00000619,2232420,0.2803
C00000620,T00000620,3199857,0.3248
C00000621,T00000621,5000000,0.2955
C00000622,T00000622,1797140,0.2372
C00000623,T00000623,2147337,0.2322
C00000624,T00000624,3765127,0.2408
C00000625,T00000625,2532783,0.3081
C00000626,T00000626,1427240,0.2445
C00000627,T00000627,3282210,0.2345
C00000628,T00000628,1849165,0.301
C00000629,T00000629,4875847,0.2342
C00000630,T00000630,5000000,0.2618
C00000631,T00000631,5000000,0.301
C00000632,T00000632,5000000,0.2921
C00000633,T00000633,2979718,0.2846
C00000634,T00000634,1825377,0.3136
C00000635,T00000635,3206250,0.2602
C00000636,T00000636,2042495,0.2636
C00000637,T00000637,2026069,0.3155
C00000638,T00000638,5000000,0.2842
C00000639,T00000639,2122662,0.2998
C00000640,T00000640,4316015,0.2161
C00000641,T00000641,5000000,0.2155
C00000642,T00000642,5000000,0.2176
C00000643,T00000643,1323381,0.2326
C00000644,T00000644,2553193,0.3271
C00000645,T00000645,3548327,0.2682
C00000646,T00000646,5000000,0.2928
C00000647,T00000647,2933777,0.2804
C00000648,T00000648,620631,0.3109
C00000649,T00000649,4365020,0.2165
C00000650,T00000650,1964121,0.3486
C00000651,T00000651,2011973,0.329
C00000652,T00000652,5000000,0.2948
C00000653,T00000653,3385067,0.2242
C00000654,T00000654,2166157,0.3367
C00000655,T00000655,5000000,0.2661
C00000656,T00000656,2905505,0.3182
C00000657,T00000657,5000000,0.2863
C00000658,T00000658,1806169,0.3003
C00000659,T00000659,3919518,0.2294
C00000660,T00000660,3270848,0.2559
C00000661,T00000661,1598544,0.2609
C00000662,T00000662,5000000,0.2798
C00000663,T00000663,1134936,0.277
C00000664,T00000664,1510700,0.3215
C00000665,T00000665,1000304,0.287
C00000666,T00000666,4681711,0.3134
C00000667,T00000667,5000000,0.2977
C00000668,T00000668,2426522,0.3391
C00000669,T00000669,2318911,0.2714
C00000670,T00000670,1458541,0.2403
C00000671,T00000671,2125430,0.3151
C00000672,T00000672,4298495,0.2532
C00000673,T00000673,5000000,0.2809
C00000674,T00000674,5000000,0.3287
C00000675,T00000675,5000000,0.2283
C00000676,T00000676,2368234,0.2412
C00000677,T00000677,5000000,0.222
C00000678,T00000678,853939,0.3044
C00000679,T00000679,1103506,0.2634
C00000680,T00000680,1320846,0.2987
C00000681,T00000681,2919970,0.2385
C00000682,T00000682,2302737,0.296
C00000683,T00000683,3355548,0.2583
C00000684,T00000684,1929525,0.3442
C00000685,T00000685,4280266,0.3248
C00000686,T00000686,2377665,0.3243
C00000687,T00000687,3368631,0.2407
C00000688,T00000688,5000000,0.316
C00000689,T00000689,5000000,0.2884
C00000690,T00000690,3205140,0.2772
C00000691,T00000691,2114320,0.3097
C00000692,T00000692,5000000,0.2818
C00000693,T00000693,1350904,0.3426
C00000694,T00000694,1135542,0.2689
C00000695,T00000695,3082500,0.2374
C00000696,T00000696,2592111,0.3203
C00000697,T00000697,3126415,0.232
C00000698,T00000698,3407712,0.2639
C00000699,T00000699,5000000,0.2942
C00000700,T00000700,4188622,0.2715
C00000701,T00000701,1539727,0.2554
C00000702,T00000702,2323407,0.2384
C00000703,T00000703,1671750,0.326
C00000704,T00000704,5000000,0.2328
C00000705,T00000705,1668353,0.3378
C00000706,T00000706,1984317,0.2616
C00000707,T00000707,4738059,0.2765
C00000708,T00000708,3185533,0.2522
C00000709,T00000709,1754104,0.3312
C00000710,T00000710,1267172,0.2545
C00000711,T00000711,5000000,0.3073
C00000712,T00000712,5000000,0.2872
C00000713,T00000713,5000000,0.2164
C00000714,T00000714,5000000,0.2371
C00000715,T00000715,5000000,0.2456
C00000716,T00000716,2527231,0.3147
C00000717,T00000717,4514733,0.2471
C00000718,T00000718,1799406,0.2692
C00000719,T00000719,1261963,0.315
C00000720,T00000720,4120280,0.3166
C00000721,T00000721,3704376,0.3261
C00000722,T00000722,2278418,0.2665
C00000723,T00000723,3976680,0.2415
C00000724,T00000724,5000000,0.251
C00000725,T00000725,1914289,0.2737
C00000726,T00000726,1246423,0.3474
C00000727,T00000727,1234223,0.2417
C00000728,T00000728,1497179,0.2818
C00000729,T00000729,2653894,0.317
C00000730,T00000730,2431040,0.2371
C00000731,T00000731,2032246,0.2899
C00000732,T00000732,1006456,0.3298
C00000733,T00000733,2202588,0.3465
C00000734,T00000734,2671153,0.305
C00000735,T00000735,1982067,0.3424
C00000736,T00000736,4936006,0.3129
C00000737,T00000737,2343644,0.2535
C00000738,T00000738,1790398,0.3196
C00000739,T00000739,2272771,0.2424
C00000740,T00000740,1091089,0.235
